Account Name,Adapter,Driver,Adapter-Driver,Critical Minutes,Client Count,Total Minutes,Good Roaming Calculation (%)
Excela,intel(r) wireless-ac 9560 160mhz,22.80.0.9,Intel(R) Wireless-AC 9560 160MHz - 22.80.0.9,9,1,129,93.0
Excela,intel(r) wi-fi 6 ax201 160mhz,23.30.0.6,Intel(R) Wi-Fi 6 AX201 160MHz - 23.30.0.6,88,1,4681,98.1
Excela,intel(r) wi-fi 6 ax201 160mhz,23.50.0.6,Intel(R) Wi-Fi 6 AX201 160MHz - 23.50.0.6,212,1,11281,98.1
Excela,intel(r) dual band wireless-ac 3165,19.51.40.1,Intel(R) Dual Band Wireless-AC 3165 - 19.51.40.1,772,5,64521,98.8
Excela,intel(r) dual band wireless-ac 8265,20.70.26.2,Intel(R) Dual Band Wireless-AC 8265 - 20.70.26.2,37,1,3119,98.8
Excela,intel(r) dual band wireless-ac 8265,22.160.0.4,Intel(R) Dual Band Wireless-AC 8265 - 22.160.0.4,1064,7,96708,98.9
Excela,intel(r) dual band wireless-ac 8265,21.120.0.9,Intel(R) Dual Band Wireless-AC 8265 - 21.120.0.9,165,1,14362,98.9
