Account Name,Adapter,Driver,Adapter-Driver,Critical Minutes,Client Count,Total Minutes,Good Roaming Calculation (%)
Government of Jersey,intel(r) wi-fi 6 ax201 160mhz,23.40.0.4,Intel(R) Wi-Fi 6 AX201 160MHz - 23.40.0.4,656,2,4160,84.2
Government of Jersey,intel(r) wi-fi 6e ax211 160mhz,23.120.0.3,Intel(R) Wi-Fi 6E AX211 160MHz - 23.120.0.3,246,4,22441,98.9
