Account Name,Adapter,Driver,Adapter-Driver,Critical Minutes,Client Count,Total Minutes,Good Roaming Calculation (%)
CanadianTire,intel(r) dual band wireless-ac 8265,20.70.27.1,Intel(R) Dual Band Wireless-AC 8265 - 20.70.27.1,787,1,13670,94.2
CanadianTire,intel(r) dual band wireless-ac 8265,20.70.30.1,Intel(R) Dual Band Wireless-AC 8265 - 20.70.30.1,2776,24,81113,96.6
CanadianTire,intel(r) wi-fi 6 ax200 160mhz,23.80.0.7,Intel(R) Wi-Fi 6 AX200 160MHz - 23.80.0.7,3020,28,120178,97.5
CanadianTire,intel(r) wi-fi 6 ax201 160mhz,23.40.0.4,Intel(R) Wi-Fi 6 AX201 160MHz - 23.40.0.4,416,6,24846,98.3
CanadianTire,intel(r) wi-fi 6 ax201 160mhz,23.80.0.7,Intel(R) Wi-Fi 6 AX201 160MHz - 23.80.0.7,2653,55,204035,98.7
CanadianTire,intel(r) wi-fi 6e ax211 160mhz,22.220.0.4,Intel(R) Wi-Fi 6E AX211 160MHz - 22.220.0.4,96,1,7495,98.7
CanadianTire,intel(r) dual band wireless-ac 8265,20.70.18.2,Intel(R) Dual Band Wireless-AC 8265 - 20.70.18.2,1943,21,156082,98.8
