Account Name,Adapter,Driver,Adapter-Driver,Critical Minutes,Client Count,Total Minutes,Good Roaming Calculation (%)
GFS,intel(r) wi-fi 6e ax211 160mhz,23.80.0.7,Intel(R) Wi-Fi 6E AX211 160MHz - 23.80.0.7,786,2,2488,68.4
GFS,intel(r) wi-fi 6 ax201 160mhz,22.110.1.1,Intel(R) Wi-Fi 6 AX201 160MHz - 22.110.1.1,10514,63,461054,97.7
GFS,intel(r) wi-fi 6e ax211 160mhz,22.250.1.2,Intel(R) Wi-Fi 6E AX211 160MHz - 22.250.1.2,296,8,20383,98.5
