Account Name,Adapter,Driver,Adapter-Driver,Critical Minutes,Client Count,Total Minutes,Good Roaming Calculation (%)
JohnsonJohnson,intel(r) wi-fi 6 ax201 160mhz,22.180.0.4,Intel(R) Wi-Fi 6 AX201 160MHz - 22.180.0.4,79,1,3622,97.8
JohnsonJohnson,intel(r) wi-fi 6 ax201 160mhz,23.80.0.7,Intel(R) Wi-Fi 6 AX201 160MHz - 23.80.0.7,171,4,10367,98.4
