Account Name,Adapter,Driver,Adapter-Driver,Critical Minutes,Client Count,Total Minutes,Good Roaming Calculation (%)
USP,intel(r) wi-fi 6 ax201 160mhz,22.160.0.3,Intel(R) Wi-Fi 6 AX201 160MHz - 22.160.0.3,1,1,12,91.7
USP,intel(r) wi-fi 6e ax211 160mhz,22.170.2.1,Intel(R) Wi-Fi 6E AX211 160MHz - 22.170.2.1,53,3,910,94.2
USP,intel(r) wi-fi 6 ax201 160mhz,22.250.10.1,Intel(R) Wi-Fi 6 AX201 160MHz - 22.250.10.1,200,10,8503,97.6
USP,intel(r) dual band wireless-ac 8265,20.70.30.1,Intel(R) Dual Band Wireless-AC 8265 - 20.70.30.1,1,2,46,97.8
USP,intel(r) wi-fi 6 ax201 160mhz,23.60.1.2,Intel(R) Wi-Fi 6 AX201 160MHz - 23.60.1.2,32,15,3036,98.9
