Account Name,Adapter,Driver,Adapter-Driver,Critical Minutes,Client Count,Total Minutes,Good Roaming Calculation (%)
Sun River,intel(r) wi-fi 6 ax201 160mhz,23.20.1.1,Intel(R) Wi-Fi 6 AX201 160MHz - 23.20.1.1,82,1,204,59.8
Sun River,intel(r) dual band wireless-ac 7265,19.51.48.1,Intel(R) Dual Band Wireless-AC 7265 - 19.51.48.1,8,1,265,97.0
Sun River,intel(r) wi-fi 6e ax211 160mhz,22.250.1.2,Intel(R) Wi-Fi 6E AX211 160MHz - 22.250.1.2,142,2,5558,97.4
Sun River,intel(r) wi-fi 6e ax211 160mhz,23.60.0.10,Intel(R) Wi-Fi 6E AX211 160MHz - 23.60.0.10,249,2,13482,98.2
