Account Name,Adapter,Driver,Adapter-Driver,Critical Minutes,Client Count,Total Minutes,Good Roaming Calculation (%)
Dorman,intel(r) wi-fi 6 ax201 160mhz,22.250.10.1,Intel(R) Wi-Fi 6 AX201 160MHz - 22.250.10.1,477,1,7733,93.8
Dorman,intel(r) dual band wireless-ac 8265,20.70.16.4,Intel(R) Dual Band Wireless-AC 8265 - 20.70.16.4,177,2,5756,96.9
Dorman,intel(r) wi-fi 6 ax201 160mhz,23.90.0.2,Intel(R) Wi-Fi 6 AX201 160MHz - 23.90.0.2,2083,30,162456,98.7
