Account Name,Adapter,Driver,Adapter-Driver,Critical Minutes,Client Count,Total Minutes,Good Roaming Calculation (%)
TempleUniversityHealth,realtek rtl8811au wireless lan 802.11ac usb 2.0 network adapter,1030.44.822.2023,Realtek RTL8811AU Wireless LAN 802.11ac USB 2.0 Network Adapter - 1030.44.822.2023,8272,21,282064,97.1
TempleUniversityHealth,realtek rtl8811au wireless lan 802.11ac usb 2.0 network adapter,1030.38.712.2019,Realtek RTL8811AU Wireless LAN 802.11ac USB 2.0 Network Adapter - 1030.38.712.2019,396,2,30413,98.7
TempleUniversityHealth,intel(r) wi-fi 6 ax200 160mhz,22.120.1.9,Intel(R) Wi-Fi 6 AX200 160MHz - 22.120.1.9,2134,18,200760,98.9
