Account Name,Adapter,Driver,Adapter-Driver,Critical Minutes,Client Count,Total Minutes,Good Roaming Calculation (%)
Sony,intel(r) wi-fi 6e ax211 160mhz,23.40.0.4,Intel(R) Wi-Fi 6E AX211 160MHz - 23.40.0.4,389,3,12629,96.9
Sony,intel(r) wi-fi 6e ax211 160mhz,22.190.0.4,Intel(R) Wi-Fi 6E AX211 160MHz - 22.190.0.4,725,7,31652,97.7
Sony,intel(r) wi-fi 6e ax211 160mhz,23.90.0.2,Intel(R) Wi-Fi 6E AX211 160MHz - 23.90.0.2,281,10,16456,98.3
Sony,intel(r) wi-fi 6 ax201 160mhz,22.40.0.7,Intel(R) Wi-Fi 6 AX201 160MHz - 22.40.0.7,252,5,19733,98.7
