Account Name,Adapter,Driver,Adapter-Driver,Critical Minutes,Client Count,Total Minutes,Good Roaming Calculation (%)
AZSintLucas,intel(r) wi-fi 6 ax201 160mhz,22.150.0.3,Intel(R) Wi-Fi 6 AX201 160MHz - 22.150.0.3,2432,1,4532,46.3
AZSintLucas,intel(r) wi-fi 6 ax201 160mhz,22.80.1.1,Intel(R) Wi-Fi 6 AX201 160MHz - 22.80.1.1,699,1,4101,83.0
AZSintLucas,intel(r) wireless-ac 9560,23.80.1.3,Intel(R) Wireless-AC 9560 - 23.80.1.3,114,1,691,83.5
AZSintLucas,intel(r) wi-fi 6 ax201 160mhz,23.60.1.2,Intel(R) Wi-Fi 6 AX201 160MHz - 23.60.1.2,4,1,135,97.0
AZSintLucas,intel(r) wi-fi 6 ax201 160mhz,22.100.0.3,Intel(R) Wi-Fi 6 AX201 160MHz - 22.100.0.3,90,1,4528,98.0
AZSintLucas,intel(r) wi-fi 6e ax211 160mhz,23.60.1.2,Intel(R) Wi-Fi 6E AX211 160MHz - 23.60.1.2,5,2,412,98.8
AZSintLucas,intel(r) dual band wireless-ac 7260,18.33.17.1,Intel(R) Dual Band Wireless-AC 7260 - 18.33.17.1,157,1,14394,98.9
AZSintLucas,intel(r) wi-fi 6 ax201 160mhz,22.190.0.4,Intel(R) Wi-Fi 6 AX201 160MHz - 22.190.0.4,156,1,14008,98.9
