Adapter-Driver,Good Sum,Critical Sum,Warning Sum,Client Count,Total Sum,Adapter,Driver,Good Roaming Calculation (%),Driver Vintage
Intel(R) Dual Band Wireless-AC 8260 - 20.70.18.2,289527,2085,4794,319,296406,Intel(R) Dual Band Wireless-AC 8260,20.70.18.2,97.7,2020-06-23
Intel(R) Wi-Fi 6 AX200 160MHz - 23.110.0.5,29533,72,591,93,30196,Intel(R) Wi-Fi 6 AX200 160MHz,23.110.0.5,97.8,2025-01-01
Intel(R) Wi-Fi 6 AX201 160MHz - 22.160.3.2,150799,2827,539,204,154165,Intel(R) Wi-Fi 6 AX201 160MHz,22.160.3.2,97.8,2022-08-01
Intel(R) Wi-Fi 6 AX201 160MHz - 22.140.0.3,197317,3741,596,373,201654,Intel(R) Wi-Fi 6 AX201 160MHz,22.140.0.3,97.8,2022-04-25
Intel(R) Wi-Fi 6 AX201 160MHz - 22.160.0.4,677727,14652,260,816,692639,Intel(R) Wi-Fi 6 AX201 160MHz,22.160.0.4,97.8,2022-08-13
Intel(R) Wi-Fi 6 AX201 160MHz - 22.160.0.3,4136432,55202,38573,12214,4230207,Intel(R) Wi-Fi 6 AX201 160MHz,22.160.0.3,97.8,2022-07-18
Intel(R) Wi-Fi 6 AX200 160MHz - 22.100.0.3,112752,1517,871,132,115140,Intel(R) Wi-Fi 6 AX200 160MHz,22.100.0.3,97.9,2022-05-01
Intel(R) Wi-Fi 6 AX201 160MHz - 23.40.1.1,494200,8201,2440,954,504841,Intel(R) Wi-Fi 6 AX201 160MHz,23.40.1.1,97.9,2024-03-19
Intel(R) Wi-Fi 6 AX201 160MHz - 23.20.1.1,5063490,55996,53966,10092,5173452,Intel(R) Wi-Fi 6 AX201 160MHz,23.20.1.1,97.9,2023-12-19
Intel(R) Wi-Fi 6E AX211 160MHz - 22.190.0.4,415896,6657,1850,873,424403,Intel(R) Wi-Fi 6E AX211 160MHz,22.190.0.4,98.0,2022-11-22
Intel(R) Wi-Fi 6 AX201 160MHz - 23.30.0.6,2498262,26745,24819,6704,2549826,Intel(R) Wi-Fi 6 AX201 160MHz,23.30.0.6,98.0,2024-01-20
Intel(R) Wi-Fi 6 AX201 160MHz - 23.80.0.7,8444436,111518,54768,17963,8610722,Intel(R) Wi-Fi 6 AX201 160MHz,23.80.0.7,98.1,2024-09-01
Killer(R) Wi-Fi 6 AX1650s 160MHz Wireless Network Adapter (201D2W) - 23.20.1.1,25105,282,206,73,25593,Killer(R) Wi-Fi 6 AX1650s 160MHz Wireless Network Adapter (201D2W),23.20.1.1,98.1,2023-12-19
Intel(R) Dual Band Wireless-AC 8265 - 20.90.0.100,55110,419,656,58,56185,Intel(R) Dual Band Wireless-AC 8265,20.90.0.100,98.1,2018-10-03
Realtek 8821CE Wireless LAN 802.11ac PCI-E NIC - 2024.10.138.0,26125,245,270,73,26640,Realtek 8821CE Wireless LAN 802.11ac PCI-E NIC,2024.10.138.0,98.1,2022-06-23
MediaTek Wi-Fi 6E MT7922 (RZ616) 160MHz PCIe Adapter - 3.3.0.897,189185,2942,708,303,192835,MediaTek Wi-Fi 6E MT7922 (RZ616) 160MHz PCIe Adapter,3.3.0.897,98.1,2023-11-20
Intel(R) Dual Band Wireless-AC 7265 - 19.51.42.2,235969,3656,894,478,240519,Intel(R) Dual Band Wireless-AC 7265,19.51.42.2,98.1,2022-08-01
NETGEAR A8000 WiFi 6 & 6E Adapter - 1.0.0.108,25585,402,96,45,26083,NETGEAR A8000 WiFi 6 & 6E Adapter,1.0.0.108,98.1,
Intel(R) Wi-Fi 6 AX201 160MHz - 23.60.0.10,643691,8283,4371,1442,656345,Intel(R) Wi-Fi 6 AX201 160MHz,23.60.0.10,98.1,2024-05-16
Intel(R) Wi-Fi 6 AX200 160MHz - 23.60.0.10,265322,3732,830,931,269884,Intel(R) Wi-Fi 6 AX200 160MHz,23.60.0.10,98.3,2024-05-16
Intel(R) Wi-Fi 6 AX201 160MHz - 23.110.0.5,485229,5921,2527,1268,493677,Intel(R) Wi-Fi 6 AX201 160MHz,23.110.0.5,98.3,2025-01-01
Intel(R) Dual Band Wireless-AC 7265 - 19.51.37.2,152549,1949,759,171,155257,Intel(R) Dual Band Wireless-AC 7265,19.51.37.2,98.3,2021-06-21
NETGEAR A6100 WiFi Adapter - 1030.25.701.2017,127694,2205,7,90,129906,NETGEAR A6100 WiFi Adapter,1030.25.701.2017,98.3,
Intel(R) Wi-Fi 6E AX211 160MHz - 22.170.2.1,6410230,69150,44113,16041,6523493,Intel(R) Wi-Fi 6E AX211 160MHz,22.170.2.1,98.3,2022-08-30
Intel(R) Dual Band Wireless-AC 8265 - 20.70.18.2,803875,8827,4733,1293,817435,Intel(R) Dual Band Wireless-AC 8265,20.70.18.2,98.3,2020-06-23
Intel(R) Dual Band Wireless-AC 8260 - 20.70.11.3,112012,371,1529,128,113912,Intel(R) Dual Band Wireless-AC 8260,20.70.11.3,98.3,2019-09-05
MediaTek Wi-Fi 6 MT7921 Wireless LAN Card - 24.40.2.575,526888,5050,3568,978,535506,MediaTek Wi-Fi 6 MT7921 Wireless LAN Card,24.40.2.575,98.4,2024-10-25
Intel(R) Wi-Fi 6 AX201 160MHz - 22.250.1.2,12313225,120944,84319,19334,12518488,Intel(R) Wi-Fi 6 AX201 160MHz,22.250.1.2,98.4,2023-08-06
Intel(R) Wi-Fi 6 AX201 160MHz - 22.250.10.1,2696852,23155,20122,6178,2740129,Intel(R) Wi-Fi 6 AX201 160MHz,22.250.10.1,98.4,2023-08-14
