Adapter-Driver,Good Sum,Critical Sum,Warning Sum,Client Count,Total Sum,Adapter,Driver,Good Roaming Calculation (%),Driver Vintage
Intel(R) Wi-Fi 6 AX201 160MHz - 21.110.2.1,27572,161,63,75,27796,Intel(R) Wi-Fi 6 AX201 160MHz,21.110.2.1,99.2,7/20/2020
MediaTek MT7921 Wi-Fi 6 802.11ax PCIe Adapter - 3.0.1.1317,41165,163,160,394,41488,MediaTek MT7921 Wi-Fi 6 802.11ax PCIe Adapter,3.0.1.1317,99.2,11/21/2023
Intel(R) Dual Band Wireless-AC 8265 - 20.70.21.2,1093801,4520,3835,1784,1102156,Intel(R) Dual Band Wireless-AC 8265,20.70.21.2,99.2,1/9/2021
Intel(R) Wi-Fi 6 AX200 160MHz - 22.60.0.6,87437,513,220,141,88170,Intel(R) Wi-Fi 6 AX200 160MHz,22.60.0.6,99.2,5/26/2021
Intel(R) Wireless-AC 9560 160MHz - 22.170.0.3,241710,1371,538,442,243619,Intel(R) Wireless-AC 9560 160MHz,22.170.0.3,99.2,8/28/2022
Intel(R) Wi-Fi 6 AX200 160MHz - 23.90.0.2,4301452,19215,10503,4814,4331170,Intel(R) Wi-Fi 6 AX200 160MHz,23.90.0.2,99.3,9/25/2024
Intel(R) Wi-Fi 6 AX201 160MHz - 22.240.0.6,1427778,6152,3231,2702,1437161,Intel(R) Wi-Fi 6 AX201 160MHz,22.240.0.6,99.3,6/17/2023
Intel(R) Wi-Fi 6E AX211 160MHz - 23.80.0.7,1953370,5733,8848,3652,1967951,Intel(R) Wi-Fi 6E AX211 160MHz,23.80.0.7,99.3,9/1/2024
Intel(R) Wi-Fi 6 AX201 160MHz - 22.100.1.1,1157079,6465,2278,2316,1165822,Intel(R) Wi-Fi 6 AX201 160MHz,22.100.1.1,99.3,5/1/2022
Intel(R) Wi-Fi 6E AX211 160MHz - 23.90.1.3,1506243,4015,7079,2371,1517337,Intel(R) Wi-Fi 6E AX211 160MHz,23.90.1.3,99.3,10/12/2024
Intel(R) Wi-Fi 6E AX211 160MHz - 22.160.0.4,19458,56,87,66,19601,Intel(R) Wi-Fi 6E AX211 160MHz,22.160.0.4,99.3,8/13/2022
Intel(R) Wi-Fi 6 AX201 160MHz - 22.70.0.6,415915,948,1991,810,418854,Intel(R) Wi-Fi 6 AX201 160MHz,22.70.0.6,99.3,6/28/2021
Intel(R) Wi-Fi 6E AX210 160MHz - 23.60.1.2,698352,1982,3292,1216,703626,Intel(R) Wi-Fi 6E AX210 160MHz,23.60.1.2,99.3,6/2/2024
Intel(R) Wi-Fi 6 AX201 160MHz - 22.30.0.11,951505,4207,2688,2208,958400,Intel(R) Wi-Fi 6 AX201 160MHz,22.30.0.11,99.3,1/19/2021
Intel(R) Dual Band Wireless-AC 7260 - 18.33.16.2,189561,1112,146,284,190819,Intel(R) Dual Band Wireless-AC 7260,18.33.16.2,99.3,3/24/2019
Intel(R) Wi-Fi 6E AX211 160MHz - 22.250.10.1,1439944,4093,5536,2744,1449573,Intel(R) Wi-Fi 6E AX211 160MHz,22.250.10.1,99.3,8/14/2023
Intel(R) Dual Band Wireless-AC 8265 - 22.160.0.4,1329412,5265,3820,1516,1338497,Intel(R) Dual Band Wireless-AC 8265,22.160.0.4,99.3,Not Found
Intel(R) Wi-Fi 6 AX200 160MHz - 22.70.0.6,129824,904,44,226,130772,Intel(R) Wi-Fi 6 AX200 160MHz,22.70.0.6,99.3,6/28/2021
Intel(R) Dual Band Wireless-AC 8260 - 20.70.2.1,108321,275,444,124,109040,Intel(R) Dual Band Wireless-AC 8260,20.70.2.1,99.3,8/13/2018
Intel(R) Wi-Fi 6 AX200 160MHz - 22.40.0.7,441288,879,2101,763,444268,Intel(R) Wi-Fi 6 AX200 160MHz,22.40.0.7,99.3,3/2/2021
MediaTek MT7921 Wi-Fi 6 802.11ax PCIe Adapter - 3.0.1.1297,27016,93,86,167,27195,MediaTek MT7921 Wi-Fi 6 802.11ax PCIe Adapter,3.0.1.1297,99.3,Not Found
Intel(R) Dual Band Wireless-AC 8265 - 20.70.3.3,1016587,3881,2337,1403,1022805,Intel(R) Dual Band Wireless-AC 8265,20.70.3.3,99.4,12/28/2018
Intel(R) Wi-Fi 6 AX200 160MHz - 22.250.0.4,466083,1211,1470,532,468764,Intel(R) Wi-Fi 6 AX200 160MHz,22.250.0.4,99.4,7/25/2023
Killer Wi-Fi 6 AX500-DBS Wireless Network Adapter - 1.0.0.1769,23848,151,1,52,24000,Killer Wi-Fi 6 AX500-DBS Wireless Network Adapter,1.0.0.1769,99.4,12/14/2021
Intel(R) Wi-Fi 6 AX200 160MHz - 22.250.1.2,303851,1623,304,542,305778,Intel(R) Wi-Fi 6 AX200 160MHz,22.250.1.2,99.4,8/6/2023
