Adapter-Driver,Good Sum,Critical Sum,Warning Sum,Client Count,Total Sum,Adapter,Driver,Good Roaming Calculation (%)
TP-Link Wireless USB Adapter - 1030.38.712.2019,64009,216,544,101,64769,TP-Link Wireless USB Adapter,1030.38.712.2019,98.8
Intel(R) Wi-Fi 6E AX211 160MHz - 23.30.0.6,4237157,36188,16979,7272,4290324,Intel(R) Wi-Fi 6E AX211 160MHz,23.30.0.6,98.8
Realtek RTL8852AE WiFi 6 802.11ax PCIe Adapter - 6001.10.353.0,179214,1682,345,271,181241,Realtek RTL8852AE WiFi 6 802.11ax PCIe Adapter,6001.10.353.0,98.9
Intel(R) Wi-Fi 6E AX211 160MHz - 23.20.0.4,219776,1687,687,431,222150,Intel(R) Wi-Fi 6E AX211 160MHz,23.20.0.4,98.9
MediaTek Wi-Fi 6 MT7921 Wireless LAN Card - 23.33.2.563,124147,982,446,251,125575,MediaTek Wi-Fi 6 MT7921 Wireless LAN Card,23.33.2.563,98.9
Intel(R) Wi-Fi 6 AX200 160MHz - 23.120.0.3,17393,181,4,25,17578,Intel(R) Wi-Fi 6 AX200 160MHz,23.120.0.3,98.9
Intel(R) Wi-Fi 6 AX201 160MHz - 21.10.2.2,146622,1184,378,245,148184,Intel(R) Wi-Fi 6 AX201 160MHz,21.10.2.2,98.9
Intel(R) Wi-Fi 6 AX201 160MHz - 23.70.4.1,46925,400,108,78,47433,Intel(R) Wi-Fi 6 AX201 160MHz,23.70.4.1,98.9
Intel(R) Dual Band Wireless-AC 8265 - 20.70.24.1,467631,4107,1280,533,473018,Intel(R) Dual Band Wireless-AC 8265,20.70.24.1,98.9
Intel(R) Wi-Fi 6 AX201 160MHz - 22.0.1.5,436340,2501,2503,562,441344,Intel(R) Wi-Fi 6 AX201 160MHz,22.0.1.5,98.9
Intel(R) Wi-Fi 6 AX201 160MHz - 23.60.1.2,39031037,237588,140001,68040,39408626,Intel(R) Wi-Fi 6 AX201 160MHz,23.60.1.2,99.0
Intel(R) Wi-Fi 6 AX201 160MHz - 23.40.0.4,8781011,54900,35322,19364,8871233,Intel(R) Wi-Fi 6 AX201 160MHz,23.40.0.4,99.0
Qualcomm FastConnect 6900 Wi-Fi 6E Dual Band Simultaneous (DBS) WiFiCx Network Adapter - 2.0.0.1193,64994,635,0,88,65629,Qualcomm FastConnect 6900 Wi-Fi 6E Dual Band Simultaneous (DBS) WiFiCx Network Adapter,2.0.0.1193,99.0
Intel(R) Wi-Fi 6 AX201 160MHz - 23.20.0.4,212326,593,1573,370,214492,Intel(R) Wi-Fi 6 AX201 160MHz,23.20.0.4,99.0
Intel(R) Dual Band Wireless-AC 8265 - 20.70.32.1,2299101,15246,8360,3503,2322707,Intel(R) Dual Band Wireless-AC 8265,20.70.32.1,99.0
Intel(R) Wi-Fi 6E AX211 160MHz - 23.40.1.1,75110,771,23,226,75904,Intel(R) Wi-Fi 6E AX211 160MHz,23.40.1.1,99.0
Realtek 8822CE Wireless LAN 802.11ac PCI-E NIC - 2024.10.139.3,15727,156,7,35,15890,Realtek 8822CE Wireless LAN 802.11ac PCI-E NIC,2024.10.139.3,99.0
MediaTek Wi-Fi 6 MT7921 Wireless LAN Card - 3.0.1.1314,196903,522,1397,387,198822,MediaTek Wi-Fi 6 MT7921 Wireless LAN Card,3.0.1.1314,99.0
Intel(R) Wi-Fi 6E AX211 160MHz - 22.200.2.1,3532753,28480,8239,7394,3569472,Intel(R) Wi-Fi 6E AX211 160MHz,22.200.2.1,99.0
Intel(R) Wi-Fi 6 AX201 160MHz - 23.90.1.3,143498,637,834,266,144969,Intel(R) Wi-Fi 6 AX201 160MHz,23.90.1.3,99.0
Intel(R) Dual Band Wireless-AC 7265 - 19.51.31.1,91512,898,3,96,92413,Intel(R) Dual Band Wireless-AC 7265,19.51.31.1,99.0
MediaTek MT7921 Wi-Fi 6 802.11ax PCIe Adapter - 3.0.1.1297,31062,209,86,173,31357,MediaTek MT7921 Wi-Fi 6 802.11ax PCIe Adapter,3.0.1.1297,99.1
Intel(R) Dual Band Wireless-AC 8260 - 20.70.32.1,1001447,3922,5426,1232,1010795,Intel(R) Dual Band Wireless-AC 8260,20.70.32.1,99.1
Intel(R) Wi-Fi 6E AX210 160MHz - 22.150.0.3,70771,188,456,70,71415,Intel(R) Wi-Fi 6E AX210 160MHz,22.150.0.3,99.1
Intel(R) Wi-Fi 6E AX211 160MHz - 23.20.1.1,8566469,38085,41132,17959,8645686,Intel(R) Wi-Fi 6E AX211 160MHz,23.20.1.1,99.1
Intel(R) Wi-Fi 6 AX200 160MHz - 22.60.0.6,94574,671,220,153,95465,Intel(R) Wi-Fi 6 AX200 160MHz,22.60.0.6,99.1
Intel(R) Wi-Fi 6 AX200 160MHz - 22.240.0.6,103926,662,319,186,104907,Intel(R) Wi-Fi 6 AX200 160MHz,22.240.0.6,99.1
Intel(R) Wi-Fi 6E AX211 160MHz - 22.130.0.5,2590194,14883,7789,6474,2612866,Intel(R) Wi-Fi 6E AX211 160MHz,22.130.0.5,99.1
Intel(R) Wireless-AC 9560 160MHz - 22.80.0.9,35995,259,71,85,36325,Intel(R) Wireless-AC 9560 160MHz,22.80.0.9,99.1
Intel(R) Wi-Fi 6 AX201 160MHz - 22.180.0.4,425615,1475,2267,581,429357,Intel(R) Wi-Fi 6 AX201 160MHz,22.180.0.4,99.1
Intel(R) Wi-Fi 6E AX211 160MHz - 23.90.0.2,20416133,131955,52713,30568,20600801,Intel(R) Wi-Fi 6E AX211 160MHz,23.90.0.2,99.1
Intel(R) Wi-Fi 6 AX201 160MHz - 22.200.2.1,5037720,24951,17144,10111,5079815,Intel(R) Wi-Fi 6 AX201 160MHz,22.200.2.1,99.2
Intel(R) Dual Band Wireless-AC 8265 - 20.70.16.4,284786,1276,1028,372,287090,Intel(R) Dual Band Wireless-AC 8265,20.70.16.4,99.2
MediaTek MT7921 Wi-Fi 6 802.11ax PCIe Adapter - 3.0.1.1317,43502,197,160,403,43859,MediaTek MT7921 Wi-Fi 6 802.11ax PCIe Adapter,3.0.1.1317,99.2
Intel(R) Wi-Fi 6 AX201 160MHz - 21.110.2.1,32420,182,63,86,32665,Intel(R) Wi-Fi 6 AX201 160MHz,21.110.2.1,99.2
Intel(R) Wi-Fi 6 AX201 160MHz - 21.110.1.1,4630918,21595,16739,7844,4669252,Intel(R) Wi-Fi 6 AX201 160MHz,21.110.1.1,99.2
Intel(R) Wi-Fi 6E AX211 160MHz - 23.110.0.5,5767403,36318,12087,12801,5815808,Intel(R) Wi-Fi 6E AX211 160MHz,23.110.0.5,99.2
Intel(R) Wi-Fi 6E AX211 160MHz - 22.240.0.6,544135,3573,684,1035,548392,Intel(R) Wi-Fi 6E AX211 160MHz,22.240.0.6,99.2
Intel(R) Wi-Fi 6E AX211 160MHz - 23.60.1.2,32672098,135211,121512,69524,32928821,Intel(R) Wi-Fi 6E AX211 160MHz,23.60.1.2,99.2
Intel(R) Wi-Fi 6E AX211 160MHz - 23.70.4.1,273909,828,1342,334,276079,Intel(R) Wi-Fi 6E AX211 160MHz,23.70.4.1,99.2
Intel(R) Wi-Fi 6E AX210 160MHz - 23.60.1.2,752845,2935,3292,1298,759072,Intel(R) Wi-Fi 6E AX210 160MHz,23.60.1.2,99.2
Intel(R) Wi-Fi 6 AX201 160MHz - 22.200.0.6,303370,1778,722,485,305870,Intel(R) Wi-Fi 6 AX201 160MHz,22.200.0.6,99.2
Intel(R) Wi-Fi 6 AX200 160MHz - 23.80.0.7,1016658,5460,2128,2128,1024246,Intel(R) Wi-Fi 6 AX200 160MHz,23.80.0.7,99.3
Killer Wi-Fi 6 AX500-DBS Wireless Network Adapter - 1.0.0.1769,28416,209,1,57,28626,Killer Wi-Fi 6 AX500-DBS Wireless Network Adapter,1.0.0.1769,99.3
Intel(R) Wi-Fi 6E AX211 160MHz - 22.250.10.1,1467833,4190,5536,2808,1477559,Intel(R) Wi-Fi 6E AX211 160MHz,22.250.10.1,99.3
