Adapter-Driver,Good Sum,Critical Sum,Warning Sum,Client Count,Total Sum,Adapter,Driver,Good Roaming Calculation (%)
Intel(R) Wireless-AC 9560 160MHz - 23.20.1.1,260388,281,904,511,261573,Intel(R) Wireless-AC 9560 160MHz,23.20.1.1,99.5
Intel(R) Wireless-AC 9560 160MHz - 22.110.1.1,20487,55,43,213,20585,Intel(R) Wireless-AC 9560 160MHz,22.110.1.1,99.5
Intel(R) Dual Band Wireless-AC 7265 - 19.51.40.1,678872,2006,1571,731,682449,Intel(R) Dual Band Wireless-AC 7265,19.51.40.1,99.5
Qualcomm QCA61x4A 802.11ac Wireless Adapter - 12.0.0.722,90588,24,464,156,91076,Qualcomm QCA61x4A 802.11ac Wireless Adapter,12.0.0.722,99.5
Intel(R) Dual Band Wireless-AC 8260 - 20.10.0.6,85454,328,99,71,85881,Intel(R) Dual Band Wireless-AC 8260,20.10.0.6,99.5
Realtek 8821CE Wireless LAN 802.11ac PCI-E NIC - 2024.10.139.2,34458,54,130,41,34642,Realtek 8821CE Wireless LAN 802.11ac PCI-E NIC,2024.10.139.2,99.5
Intel(R) Wi-Fi 6E AX211 160MHz - 23.70.0.6,1680613,5127,3982,1417,1689722,Intel(R) Wi-Fi 6E AX211 160MHz,23.70.0.6,99.5
Intel(R) Wi-Fi 6 AX201 160MHz - 22.100.1.1,2159821,8175,2278,4172,2170274,Intel(R) Wi-Fi 6 AX201 160MHz,22.100.1.1,99.5
Intel(R) Wi-Fi 6 AX201 160MHz - 21.90.2.1,686727,2470,1131,771,690328,Intel(R) Wi-Fi 6 AX201 160MHz,21.90.2.1,99.5
Intel(R) Wi-Fi 6 AX200 160MHz - 23.20.1.1,166976,155,654,228,167785,Intel(R) Wi-Fi 6 AX200 160MHz,23.20.1.1,99.5
Intel(R) Wi-Fi 6E AX210 160MHz - 23.80.0.7,360511,1008,753,696,362272,Intel(R) Wi-Fi 6E AX210 160MHz,23.80.0.7,99.5
Intel(R) Wi-Fi 6 AX201 160MHz - 22.10.0.7,3093285,8605,7507,6401,3109397,Intel(R) Wi-Fi 6 AX201 160MHz,22.10.0.7,99.5
"Wi-Fi  (0x14E4, 0x7BF) - 16.0 (1657)",13299,32,25,49,13356,"Wi-Fi  (0x14E4, 0x7BF)",16.0 (1657),99.6
Intel(R) Wi-Fi 6 AX201 160MHz - 22.250.0.4,1854903,3417,4386,2424,1862706,Intel(R) Wi-Fi 6 AX201 160MHz,22.250.0.4,99.6
Intel(R) Wi-Fi 6 AX201 160MHz - 22.40.0.7,8106186,15834,13188,18239,8135208,Intel(R) Wi-Fi 6 AX201 160MHz,22.40.0.7,99.6
Intel(R) Wi-Fi 6 AX201 160MHz - 22.190.0.4,1601392,4752,1136,2982,1607280,Intel(R) Wi-Fi 6 AX201 160MHz,22.190.0.4,99.6
Intel(R) Wi-Fi 6 AX201 160MHz - 22.150.1.1,295664,898,303,418,296865,Intel(R) Wi-Fi 6 AX201 160MHz,22.150.1.1,99.6
Realtek RTL8852AE WiFi 6 802.11ax PCIe Adapter - 6001.10.356.1,1074341,4452,180,1647,1078973,Realtek RTL8852AE WiFi 6 802.11ax PCIe Adapter,6001.10.356.1,99.6
Intel(R) Wi-Fi 6 AX201 160MHz - 23.10.0.8,380087,1105,582,599,381774,Intel(R) Wi-Fi 6 AX201 160MHz,23.10.0.8,99.6
Intel(R) Wi-Fi 6 AX200 160MHz - 23.30.0.6,590206,1100,1527,1264,592833,Intel(R) Wi-Fi 6 AX200 160MHz,23.30.0.6,99.6
Intel(R) Wi-Fi 6 AX200 160MHz - 23.120.0.3,79664,310,4,98,79978,Intel(R) Wi-Fi 6 AX200 160MHz,23.120.0.3,99.6
Intel(R) Wi-Fi 6E AX210 160MHz - 22.250.1.2,29156,86,17,85,29259,Intel(R) Wi-Fi 6E AX210 160MHz,22.250.1.2,99.6
Intel(R) Wi-Fi 6E AX210 160MHz - 23.110.0.5,185673,616,148,442,186437,Intel(R) Wi-Fi 6E AX210 160MHz,23.110.0.5,99.6
Intel(R) Wi-Fi 6 AX200 160MHz - 23.60.1.2,4374593,12686,5504,5906,4392783,Intel(R) Wi-Fi 6 AX200 160MHz,23.60.1.2,99.6
Intel(R) Dual Band Wireless-AC 8260 - 20.70.2.1,227663,546,444,222,228653,Intel(R) Dual Band Wireless-AC 8260,20.70.2.1,99.6
Intel(R) Wi-Fi 6E AX211 160MHz - 22.180.0.4,17609,69,0,57,17678,Intel(R) Wi-Fi 6E AX211 160MHz,22.180.0.4,99.6
Intel(R) Wi-Fi 6E AX211 160MHz - 22.220.0.4,31389,111,0,65,31500,Intel(R) Wi-Fi 6E AX211 160MHz,22.220.0.4,99.6
Intel(R) Dual Band Wireless-AC 8260 - 22.110.0.2,3704651,11842,1893,4457,3718386,Intel(R) Dual Band Wireless-AC 8260,22.110.0.2,99.6
Intel(R) Wireless-AC 9462 - 22.70.0.6,98224,319,44,89,98587,Intel(R) Wireless-AC 9462,22.70.0.6,99.6
Intel(R) Dual Band Wireless-AC 8265 - 20.70.25.2,1757149,7123,634,2438,1764906,Intel(R) Dual Band Wireless-AC 8265,20.70.25.2,99.6
MediaTek MT7921 Wi-Fi 6 802.11ax PCIe Adapter - 3.0.1.1327,41631,120,33,223,41784,MediaTek MT7921 Wi-Fi 6 802.11ax PCIe Adapter,3.0.1.1327,99.6
Intel(R) Wi-Fi 6E AX211 160MHz - 23.10.0.8,460617,771,931,699,462319,Intel(R) Wi-Fi 6E AX211 160MHz,23.10.0.8,99.6
Intel(R) Wi-Fi 6E AX211 160MHz - 22.250.0.4,1288805,4322,1009,1982,1294136,Intel(R) Wi-Fi 6E AX211 160MHz,22.250.0.4,99.6
Intel(R) Dual Band Wireless-AC 8260 - 20.70.23.1,892219,2796,884,811,895899,Intel(R) Dual Band Wireless-AC 8260,20.70.23.1,99.6
Intel(R) Wi-Fi 6 AX200 160MHz - 22.150.1.1,415263,488,1136,485,416887,Intel(R) Wi-Fi 6 AX200 160MHz,22.150.1.1,99.6
Intel(R) Wi-Fi 6 AX200 160MHz - 22.110.1.1,142667,325,203,211,143195,Intel(R) Wi-Fi 6 AX200 160MHz,22.110.1.1,99.6
Intel(R) Wi-Fi 6E AX211 160MHz - 23.120.0.3,449882,1577,52,627,451511,Intel(R) Wi-Fi 6E AX211 160MHz,23.120.0.3,99.6
Intel(R) Wi-Fi 6 AX200 160MHz - 22.80.1.1,15938,57,3,67,15998,Intel(R) Wi-Fi 6 AX200 160MHz,22.80.1.1,99.6
Intel(R) Wireless-AC 9260 160MHz - 23.110.0.5,12102,42,1,29,12145,Intel(R) Wireless-AC 9260 160MHz,23.110.0.5,99.6
Intel(R) Dual Band Wireless-AC 8265 - 22.130.0.5,778486,2131,1043,972,781660,Intel(R) Dual Band Wireless-AC 8265,22.130.0.5,99.6
Intel(R) Wi-Fi 6 AX200 160MHz - 21.20.1.1,92845,419,0,114,93264,Intel(R) Wi-Fi 6 AX200 160MHz,21.20.1.1,99.6
Intel(R) Dual Band Wireless-AC 8265 - 20.50.0.5,37344,5,112,72,37461,Intel(R) Dual Band Wireless-AC 8265,20.50.0.5,99.7
Intel(R) Wi-Fi 6 AX200 160MHz - 23.80.1.3,77093,170,24,127,77287,Intel(R) Wi-Fi 6 AX200 160MHz,23.80.1.3,99.7
Qualcomm QCA61x4A 802.11ac Wireless Adapter - 12.0.0.926,198884,474,128,202,199486,Qualcomm QCA61x4A 802.11ac Wireless Adapter,12.0.0.926,99.7
Intel(R) Wi-Fi 6E AX211 160MHz - 22.230.0.8,1771443,3325,2614,3027,1777382,Intel(R) Wi-Fi 6E AX211 160MHz,22.230.0.8,99.7
Intel(R) Wi-Fi 6 AX200 160MHz - 22.0.1.5,32600,90,3,50,32693,Intel(R) Wi-Fi 6 AX200 160MHz,22.0.1.5,99.7
Intel(R) Wireless-AC 9260 160MHz - 21.50.1.1,150548,393,44,225,150985,Intel(R) Wireless-AC 9260 160MHz,21.50.1.1,99.7
Intel(R) Dual Band Wireless-AC 8260 - 20.70.3.3,1530143,2567,1721,2085,1534431,Intel(R) Dual Band Wireless-AC 8260,20.70.3.3,99.7
Intel(R) Dual Band Wireless-AC 8260 - 20.70.24.1,25526,30,43,28,25599,Intel(R) Dual Band Wireless-AC 8260,20.70.24.1,99.7
Intel(R) Dual Band Wireless-AC 8260 - 20.70.21.2,125033,183,243,202,125459,Intel(R) Dual Band Wireless-AC 8260,20.70.21.2,99.7
Qualcomm QCA61x4A 802.11ac Wireless Adapter - 12.0.0.1118,1327213,2474,1566,1625,1331253,Qualcomm QCA61x4A 802.11ac Wireless Adapter,12.0.0.1118,99.7
Intel(R) Wi-Fi 6E AX211 160MHz - 23.70.2.3,216326,334,313,571,216973,Intel(R) Wi-Fi 6E AX211 160MHz,23.70.2.3,99.7
Intel(R) Wi-Fi 6E AX211 160MHz - 22.110.1.1,135269,189,263,194,135721,Intel(R) Wi-Fi 6E AX211 160MHz,22.110.1.1,99.7
Intel(R) Wi-Fi 6 AX201 160MHz - 22.20.0.6,999136,2330,1006,1003,1002472,Intel(R) Wi-Fi 6 AX201 160MHz,22.20.0.6,99.7
Intel(R) Wi-Fi 6 AX201 160MHz - 22.170.0.3,1219191,2490,583,1934,1222264,Intel(R) Wi-Fi 6 AX201 160MHz,22.170.0.3,99.7
Intel(R) Wi-Fi 6 AX201 160MHz - 22.60.0.6,100380,263,30,266,100673,Intel(R) Wi-Fi 6 AX201 160MHz,22.60.0.6,99.7
Intel(R) Wi-Fi 6 AX201 160MHz - 22.90.0.5,334957,483,530,413,335970,Intel(R) Wi-Fi 6 AX201 160MHz,22.90.0.5,99.7
Intel(R) Wi-Fi 6 AX201 160MHz - 22.220.0.4,745905,1655,507,1284,748067,Intel(R) Wi-Fi 6 AX201 160MHz,22.220.0.4,99.7
Intel(R) Dual Band Wireless-AC 7260 - 18.33.17.1,474800,777,728,539,476305,Intel(R) Dual Band Wireless-AC 7260,18.33.17.1,99.7
Intel(R) Wireless-AC 9560 160MHz - 21.90.3.2,80246,35,190,128,80471,Intel(R) Wireless-AC 9560 160MHz,21.90.3.2,99.7
Intel(R) Wi-Fi 6 AX200 160MHz - 21.10.2.2,1336938,2486,1863,1464,1341287,Intel(R) Wi-Fi 6 AX200 160MHz,21.10.2.2,99.7
Intel(R) Wireless-AC 9560 160MHz - 23.120.0.3,62677,210,0,64,62887,Intel(R) Wireless-AC 9560 160MHz,23.120.0.3,99.7
Intel(R) Dual Band Wireless-AC 8265 - 21.120.0.9,127884,145,221,136,128250,Intel(R) Dual Band Wireless-AC 8265,21.120.0.9,99.7
Intel(R) Dual Band Wireless-AC 8265 - 20.70.30.1,3388037,6969,2989,5330,3397995,Intel(R) Dual Band Wireless-AC 8265,20.70.30.1,99.7
Intel(R) Dual Band Wireless-AC 8265 - 20.70.4.2,4397463,10808,2464,4726,4410735,Intel(R) Dual Band Wireless-AC 8265,20.70.4.2,99.7
Intel(R) Wi-Fi 6 AX201 160MHz - 23.80.1.3,195355,430,70,398,195855,Intel(R) Wi-Fi 6 AX201 160MHz,23.80.1.3,99.7
Intel(R) Dual Band Wireless-AC 3168 - 19.51.30.1,278922,379,566,344,279867,Intel(R) Dual Band Wireless-AC 3168,19.51.30.1,99.7
Intel(R) Wireless-AC 9560 160MHz - 22.240.0.6,482849,600,974,634,484423,Intel(R) Wireless-AC 9560 160MHz,22.240.0.6,99.7
Intel(R) Wireless-AC 9462 - 22.250.1.2,20812,8,35,22,20855,Intel(R) Wireless-AC 9462,22.250.1.2,99.8
Intel(R) Wireless-AC 9260 160MHz - 22.170.0.3,1037819,1874,557,1176,1040250,Intel(R) Wireless-AC 9260 160MHz,22.170.0.3,99.8
Intel(R) Wireless-AC 9260 160MHz - 22.220.0.4,337073,418,147,363,337638,Intel(R) Wireless-AC 9260 160MHz,22.220.0.4,99.8
Intel(R) Wireless-AC 9260 160MHz - 22.30.0.11,304218,442,169,350,304829,Intel(R) Wireless-AC 9260 160MHz,22.30.0.11,99.8
Intel(R) Dual Band Wireless-AC 8265 - 20.70.19.1,68239,90,25,86,68354,Intel(R) Dual Band Wireless-AC 8265,20.70.19.1,99.8
MediaTek MT7921 Wi-Fi 6 802.11ax PCIe Adapter - 3.0.1.1255,24387,36,16,162,24439,MediaTek MT7921 Wi-Fi 6 802.11ax PCIe Adapter,3.0.1.1255,99.8
Intel(R) Wireless-AC 9260 160MHz - 22.250.1.2,708278,977,423,847,709678,Intel(R) Wireless-AC 9260 160MHz,22.250.1.2,99.8
Intel(R) Wireless-AC 9260 160MHz - 21.110.1.1,375250,417,150,787,375817,Intel(R) Wireless-AC 9260 160MHz,21.110.1.1,99.8
Intel(R) Dual Band Wireless-AC 8260 - 22.60.0.6,50997,100,0,62,51097,Intel(R) Dual Band Wireless-AC 8260,22.60.0.6,99.8
Intel(R) Wi-Fi 6 AX200 160MHz - 22.220.0.4,57999,19,115,76,58133,Intel(R) Wi-Fi 6 AX200 160MHz,22.220.0.4,99.8
Intel(R) Wi-Fi 6E AX211 160MHz - 23.80.1.3,149237,284,75,327,149596,Intel(R) Wi-Fi 6E AX211 160MHz,23.80.1.3,99.8
Intel(R) Wi-Fi 6 AX201 160MHz - 22.0.0.6,1805611,2337,656,1875,1808604,Intel(R) Wi-Fi 6 AX201 160MHz,22.0.0.6,99.8
Intel(R) Dual Band Wireless-AC 7260 - 18.33.14.3,137357,80,142,160,137579,Intel(R) Dual Band Wireless-AC 7260,18.33.14.3,99.8
Intel(R) Wi-Fi 6 AX201 160MHz - 22.0.1.1,1391973,2023,1075,3170,1395071,Intel(R) Wi-Fi 6 AX201 160MHz,22.0.1.1,99.8
Intel(R) Wi-Fi 6 AX201 160MHz - 22.80.0.9,81034,103,25,157,81162,Intel(R) Wi-Fi 6 AX201 160MHz,22.80.0.9,99.8
Intel(R) Dual Band Wireless-AC 8260 - 20.70.30.1,1822448,2186,681,2358,1825315,Intel(R) Dual Band Wireless-AC 8260,20.70.30.1,99.8
Intel(R) Dual Band Wireless-AC 8265 - 20.70.26.2,69883,84,33,238,70000,Intel(R) Dual Band Wireless-AC 8265,20.70.26.2,99.8
Intel(R) Wi-Fi 6 AX200 160MHz - 21.80.2.1,19655,4,30,37,19689,Intel(R) Wi-Fi 6 AX200 160MHz,21.80.2.1,99.8
Intel(R) Dual Band Wireless-AC 8260 - 20.70.25.2,459666,433,678,585,460777,Intel(R) Dual Band Wireless-AC 8260,20.70.25.2,99.8
Intel(R) Wi-Fi 6 AX200 160MHz - 22.140.0.3,67830,121,1,114,67952,Intel(R) Wi-Fi 6 AX200 160MHz,22.140.0.3,99.8
Intel(R) Wi-Fi 6E AX211 160MHz - 23.100.0.4,237754,421,37,407,238212,Intel(R) Wi-Fi 6E AX211 160MHz,23.100.0.4,99.8
TP-Link Wireless USB Adapter - 5001.19.113.2,13326,25,5,14,13356,TP-Link Wireless USB Adapter,5001.19.113.2,99.8
Intel(R) Wi-Fi 6 AX201 160MHz - 21.80.0.4,63994,66,41,68,64101,Intel(R) Wi-Fi 6 AX201 160MHz,21.80.0.4,99.8
Intel(R) Wi-Fi 6 AX201 160MHz - 21.80.2.1,393045,453,216,1251,393714,Intel(R) Wi-Fi 6 AX201 160MHz,21.80.2.1,99.8
Intel(R) Wireless-AC 9560 160MHz - 23.90.1.3,28258,45,20,61,28323,Intel(R) Wireless-AC 9560 160MHz,23.90.1.3,99.8
Intel(R) Wireless-AC 9560 160MHz - 23.80.0.7,2671396,3677,914,5116,2675987,Intel(R) Wireless-AC 9560 160MHz,23.80.0.7,99.8
Intel(R) Wireless-AC 9260 160MHz - 22.90.0.5,2183439,2311,1297,2457,2187047,Intel(R) Wireless-AC 9260 160MHz,22.90.0.5,99.8
Intel(R) Wireless-AC 9260 160MHz - 23.10.0.8,22202,18,35,30,22255,Intel(R) Wireless-AC 9260 160MHz,23.10.0.8,99.8
Marvell AVASTAR Wireless-AC Network Controller - 15.68.17022.122,291031,455,195,666,291681,Marvell AVASTAR Wireless-AC Network Controller,15.68.17022.122,99.8
Intel(R) Wireless-AC 9560 160MHz - 23.40.0.4,2809319,4576,1357,2823,2815252,Intel(R) Wireless-AC 9560 160MHz,23.40.0.4,99.8
Intel(R) Wireless-AC 9560 160MHz - 23.60.1.2,12569076,18830,6330,15443,12594236,Intel(R) Wireless-AC 9560 160MHz,23.60.1.2,99.8
Realtek RTL8852BE WiFi 6 802.11ax PCIe Adapter - 6001.15.145.600,31255,53,21,91,31329,Realtek RTL8852BE WiFi 6 802.11ax PCIe Adapter,6001.15.145.600,99.8
Intel(R) Dual Band Wireless-AC 3165 - 22.130.0.5,102616,56,174,132,102846,Intel(R) Dual Band Wireless-AC 3165,22.130.0.5,99.8
Realtek RTL8852BE WiFi 6 802.11ax PCIe Adapter - 6001.15.135.0,189029,206,109,455,189344,Realtek RTL8852BE WiFi 6 802.11ax PCIe Adapter,6001.15.135.0,99.8
Realtek RTL8852BE WiFi 6 802.11ax PCIe Adapter - 6001.15.131.0,511411,1106,90,753,512607,Realtek RTL8852BE WiFi 6 802.11ax PCIe Adapter,6001.15.131.0,99.8
Intel(R) Dual Band Wireless-AC 3168 - 19.51.21.1,767601,1611,139,897,769351,Intel(R) Dual Band Wireless-AC 3168,19.51.21.1,99.8
Intel(R) Wi-Fi 6 AX200 160MHz - 21.120.0.9,294929,384,146,692,295459,Intel(R) Wi-Fi 6 AX200 160MHz,21.120.0.9,99.8
Intel(R) Wireless-AC 9560 160MHz - 21.20.1.1,10154808,11110,10343,13607,10176261,Intel(R) Wireless-AC 9560 160MHz,21.20.1.1,99.8
Intel(R) Wi-Fi 6E AX210 160MHz - 23.90.0.2,580923,827,463,956,582213,Intel(R) Wi-Fi 6E AX210 160MHz,23.90.0.2,99.8
Intel(R) Wi-Fi 6E AX210 160MHz - 23.90.1.3,127181,241,65,183,127487,Intel(R) Wi-Fi 6E AX210 160MHz,23.90.1.3,99.8
Intel(R) Wi-Fi 6E AX210 160MHz - 23.40.0.4,78476,78,56,146,78610,Intel(R) Wi-Fi 6E AX210 160MHz,23.40.0.4,99.8
Realtek RTL8852BE WiFi 6 802.11ax PCIe Adapter - 6001.15.149.100,4150501,5924,1886,5951,4158311,Realtek RTL8852BE WiFi 6 802.11ax PCIe Adapter,6001.15.149.100,99.8
Intel(R) Dual Band Wireless-AC 8260 - 20.70.12.5,208850,182,59,214,209091,Intel(R) Dual Band Wireless-AC 8260,20.70.12.5,99.9
Intel(R) Wi-Fi 6E AX211 160MHz - 22.100.1.1,272039,213,131,316,272383,Intel(R) Wi-Fi 6E AX211 160MHz,22.100.1.1,99.9
Qualcomm QCA61x4A 802.11ac Wireless Adapter - 12.0.0.1272,661335,344,23,791,661702,Qualcomm QCA61x4A 802.11ac Wireless Adapter,12.0.0.1272,99.9
Qualcomm FastConnect 6900 Wi-Fi 6E Dual Band Simultaneous (DBS) WiFiCx Network Adapter - 2.0.0.1277,42789,33,0,76,42822,Qualcomm FastConnect 6900 Wi-Fi 6E Dual Band Simultaneous (DBS) WiFiCx Network Adapter,2.0.0.1277,99.9
Intel(R) Wi-Fi 6E AX210 160MHz - 22.130.0.5,18722,15,1,26,18738,Intel(R) Wi-Fi 6E AX210 160MHz,22.130.0.5,99.9
Intel(R) Wi-Fi 6 AX201 160MHz - 23.100.0.4,502507,521,178,583,503206,Intel(R) Wi-Fi 6 AX201 160MHz,23.100.0.4,99.9
Intel(R) Wi-Fi 6 AX201 160MHz - 21.40.1.3,11362,7,0,30,11369,Intel(R) Wi-Fi 6 AX201 160MHz,21.40.1.3,99.9
Killer(R) Wi-Fi 6 AX1650x 160MHz Wireless Network Adapter (200NGW) - 23.90.0.2,24540,31,1,56,24572,Killer(R) Wi-Fi 6 AX1650x 160MHz Wireless Network Adapter (200NGW),23.90.0.2,99.9
Intel(R) Wi-Fi 7 BE200 320MHz - 23.60.1.2,49317,33,2,98,49352,Intel(R) Wi-Fi 7 BE200 320MHz,23.60.1.2,99.9
Intel(R) Wi-Fi 7 BE200 320MHz - 23.70.3.1,20065,2,9,29,20076,Intel(R) Wi-Fi 7 BE200 320MHz,23.70.3.1,99.9
Intel(R) Dual Band Wireless-AC 8265 - 20.70.12.5,158184,72,30,195,158286,Intel(R) Dual Band Wireless-AC 8265,20.70.12.5,99.9
Intel(R) Dual Band Wireless-AC 8265 - 20.70.5.2,193890,146,4,198,194040,Intel(R) Dual Band Wireless-AC 8265,20.70.5.2,99.9
Intel(R) Dual Band Wireless-AC 8260 - 20.70.5.2,176143,31,110,187,176284,Intel(R) Dual Band Wireless-AC 8260,20.70.5.2,99.9
MediaTek Wi-Fi 6E MT7922 (RZ616) 160MHz PCIe Adapter - 3.4.0.1088,88527,40,7,246,88574,MediaTek Wi-Fi 6E MT7922 (RZ616) 160MHz PCIe Adapter,3.4.0.1088,99.9
Intel(R) Wi-Fi 6 AX200 160MHz - 22.200.0.6,150278,67,64,193,150409,Intel(R) Wi-Fi 6 AX200 160MHz,22.200.0.6,99.9
Intel(R) Wi-Fi 6 AX200 160MHz - 22.250.10.1,69513,64,1,85,69578,Intel(R) Wi-Fi 6 AX200 160MHz,22.250.10.1,99.9
Qualcomm FastConnect 6900 Wi-Fi 6E Dual Band Simultaneous (DBS) WDI Network Adapter - 1.0.0.1694,262474,185,41,402,262700,Qualcomm FastConnect 6900 Wi-Fi 6E Dual Band Simultaneous (DBS) WDI Network Adapter,1.0.0.1694,99.9
Intel(R) Wi-Fi 6 AX200 160MHz - 22.0.1.1,16252,12,10,43,16274,Intel(R) Wi-Fi 6 AX200 160MHz,22.0.1.1,99.9
Intel(R) Wi-Fi 6 AX200 160MHz - 22.230.0.8,345868,176,25,465,346069,Intel(R) Wi-Fi 6 AX200 160MHz,22.230.0.8,99.9
Intel(R) Wi-Fi 6 AX200 160MHz - 22.190.0.4,299356,300,107,317,299763,Intel(R) Wi-Fi 6 AX200 160MHz,22.190.0.4,99.9
Realtek RTL8811AU Wireless LAN 802.11ac USB 2.0 Network Adapter - 1030.38.712.2019,101211,72,10,94,101293,Realtek RTL8811AU Wireless LAN 802.11ac USB 2.0 Network Adapter,1030.38.712.2019,99.9
Intel(R) Dual Band Wireless-AC 7265 - 19.50.1.6,30392,19,22,42,30433,Intel(R) Dual Band Wireless-AC 7265,19.50.1.6,99.9
Realtek 8812BU Wireless LAN 802.11ac USB NIC - 1030.38.712.2019,63346,83,0,68,63429,Realtek 8812BU Wireless LAN 802.11ac USB NIC,1030.38.712.2019,99.9
Intel(R) Wi-Fi 6 AX200 160MHz - 23.70.2.3,21853,18,11,22,21882,Intel(R) Wi-Fi 6 AX200 160MHz,23.70.2.3,99.9
Intel(R) Wi-Fi 6E AX210 160MHz - 23.120.0.3,53252,46,2,70,53300,Intel(R) Wi-Fi 6E AX210 160MHz,23.120.0.3,99.9
Intel(R) Wireless-AC 9560 160MHz - 23.40.1.1,276302,202,20,516,276524,Intel(R) Wireless-AC 9560 160MHz,23.40.1.1,99.9
Intel(R) Wireless-AC 9260 160MHz - 23.50.0.6,797234,417,170,921,797821,Intel(R) Wireless-AC 9260 160MHz,23.50.0.6,99.9
Intel(R) Wireless-AC 9260 160MHz - 23.100.0.4,110385,75,3,123,110463,Intel(R) Wireless-AC 9260 160MHz,23.100.0.4,99.9
Intel(R) Wireless-AC 9560 160MHz - 23.90.0.2,4929840,4593,1578,5809,4936011,Intel(R) Wireless-AC 9560 160MHz,23.90.0.2,99.9
Killer Wireless-n/a/ac 1535 Wireless Network Adapter - 12.0.0.1118,11343,6,3,55,11352,Killer Wireless-n/a/ac 1535 Wireless Network Adapter,12.0.0.1118,99.9
Intel(R) Wireless-AC 9560 160MHz - 22.10.0.7,329613,99,117,433,329829,Intel(R) Wireless-AC 9560 160MHz,22.10.0.7,99.9
Intel(R) Wireless-AC 9560 160MHz - 22.250.10.1,78611,26,56,147,78693,Intel(R) Wireless-AC 9560 160MHz,22.250.10.1,99.9
Killer(R) Wi-Fi 6 AX1650s 160MHz Wireless Network Adapter (201D2W) - 22.250.0.4,58781,52,9,96,58842,Killer(R) Wi-Fi 6 AX1650s 160MHz Wireless Network Adapter (201D2W),22.250.0.4,99.9
Intel(R) Wireless-AC 9560 160MHz - 22.30.0.11,254060,278,45,376,254383,Intel(R) Wireless-AC 9560 160MHz,22.30.0.11,99.9
Intel(R) Wireless-AC 9560 160MHz - 22.120.0.3,101893,43,15,157,101951,Intel(R) Wireless-AC 9560 160MHz,22.120.0.3,99.9
Intel(R) Wireless-AC 9560 160MHz - 23.30.0.6,650310,761,173,1190,651244,Intel(R) Wireless-AC 9560 160MHz,23.30.0.6,99.9
Intel(R) Wireless-AC 9560 160MHz - 23.20.0.4,44133,17,10,89,44160,Intel(R) Wireless-AC 9560 160MHz,23.20.0.4,99.9
Intel(R) Wireless-AC 9560 160MHz - 21.110.3.2,123962,1,147,117,124110,Intel(R) Wireless-AC 9560 160MHz,21.110.3.2,99.9
Intel(R) Wireless-AC 9560 160MHz - 21.110.2.1,36982,17,2,82,37001,Intel(R) Wireless-AC 9560 160MHz,21.110.2.1,99.9
Intel(R) Wireless-AC 9560 160MHz - 21.110.1.1,689001,181,730,955,689912,Intel(R) Wireless-AC 9560 160MHz,21.110.1.1,99.9
Intel(R) Wireless-AC 9260 160MHz - 23.60.1.2,46616,19,10,100,46645,Intel(R) Wireless-AC 9260 160MHz,23.60.1.2,99.9
Intel(R) Wireless-AC 9560 160MHz - 22.140.0.3,178769,130,17,250,178916,Intel(R) Wireless-AC 9560 160MHz,22.140.0.3,99.9
Intel(R) Dual Band Wireless-AC 8265 - 22.30.0.11,172561,5,124,247,172690,Intel(R) Dual Band Wireless-AC 8265,22.30.0.11,99.9
Intel(R) Wireless-AC 9560 160MHz - 21.80.2.1,213142,249,67,421,213458,Intel(R) Wireless-AC 9560 160MHz,21.80.2.1,99.9
Intel(R) Wireless-AC 9560 160MHz - 22.130.0.5,109199,93,4,172,109296,Intel(R) Wireless-AC 9560 160MHz,22.130.0.5,99.9
Intel(R) Wi-Fi 6 AX200 160MHz - 21.40.2.2,90450,33,25,161,90508,Intel(R) Wi-Fi 6 AX200 160MHz,21.40.2.2,99.9
Intel(R) Wireless-AC 9560 160MHz - 22.220.0.4,226727,14,111,382,226852,Intel(R) Wireless-AC 9560 160MHz,22.220.0.4,99.9
Intel(R) Wireless-AC 9560 160MHz - 22.160.0.4,3651434,3023,235,4776,3654692,Intel(R) Wireless-AC 9560 160MHz,22.160.0.4,99.9
Intel(R) Dual Band Wireless-AC 3160 - 18.33.17.1,179722,78,137,180,179937,Intel(R) Dual Band Wireless-AC 3160,18.33.17.1,99.9
Realtek RTL8852BE WiFi 6 802.11ax PCIe Adapter - 6001.15.128.0,82369,61,12,182,82442,Realtek RTL8852BE WiFi 6 802.11ax PCIe Adapter,6001.15.128.0,99.9
Realtek RTL8852BE WiFi 6 802.11ax PCIe Adapter - 6001.15.124.0,11779,8,2,24,11789,Realtek RTL8852BE WiFi 6 802.11ax PCIe Adapter,6001.15.124.0,99.9
Realtek RTL8852BE WiFi 6 802.11ax PCIe Adapter - 6001.15.123.322,17377,15,0,25,17392,Realtek RTL8852BE WiFi 6 802.11ax PCIe Adapter,6001.15.123.322,99.9
Intel(R) Dual Band Wireless-AC 7265 - 19.51.15.3,1044330,1151,414,1147,1045895,Intel(R) Dual Band Wireless-AC 7265,19.51.15.3,99.9
Intel(R) Dual Band Wireless-AC 7265 - 19.51.14.1,139516,12,0,118,139528,Intel(R) Dual Band Wireless-AC 7265,19.51.14.1,100.0
Intel(R) Dual Band Wireless-AC 7265 - 19.51.29.1,43019,2,0,53,43021,Intel(R) Dual Band Wireless-AC 7265,19.51.29.1,100.0
