Adapter-Driver,Good Sum,Critical Sum,Warning Sum,Client Count,Total Sum,Good Roaming Calculation (%)
N/A,1,0,0,1,1,100.0%
Realtek 8821CE Wireless LAN 802.11ac PCI-E NIC - 2024.10.139.3,24,0,0,1,24,100.0%
Realtek 8821CE Wireless LAN 802.11ac PCI-E NIC - 2024.10.139.2,736,0,1,1,737,100.0%
Realtek 8811CU Wireless LAN 802.11ac USB NIC - 1030.44.1014.2024,495,0,0,1,495,100.0%
Edimax AC1750 Wi-Fi USB Adapter - 1030.44.1014.2024,720,0,0,1,720,100.0%
N/A,26,0,0,1,26,100.0%
N/A,667,0,0,1,667,100.0%
Qualcomm QCA61x4A 802.11ac Wireless Adapter - 12.0.0.926,2371,0,0,3,2371,100.0%
Qualcomm QCA61x4A 802.11ac Wireless Adapter - 12.0.0.1272,6352,0,1,10,6353,100.0%
Qualcomm QCA61x4A 802.11ac Wireless Adapter - 12.0.0.1118,19998,0,0,29,19998,100.0%
Qualcomm QCA61x4A 802.11ac Wireless Adapter - 12.0.0.1016,1576,0,0,2,1576,100.0%
Qualcomm FastConnect 6900 Wi-Fi 6E Dual Band Simultaneous (DBS) WDI Network Adapter - 1.0.0.1694,2515,0,0,5,2515,100.0%
Qualcomm FastConnect 6900 Wi-Fi 6E Dual Band Simultaneous (DBS) WDI Network Adapter - 1.0.0.1633,17,0,0,1,17,100.0%
Killer Wireless-n/a/ac 1535 Wireless Network Adapter - 12.0.0.1118,288,0,0,1,288,100.0%
Killer Wireless-n/a/ac 1435 Wireless Network Adapter - 12.0.0.1118,66,0,0,1,66,100.0%
Killer Wi-Fi 6 AX500-DBS Wireless Network Adapter - 1.0.0.1769,334,0,0,1,334,100.0%
Killer Wi-Fi 6 AX500-DBS Wireless Network Adapter - 1.0.0.1606,1,0,0,1,1,100.0%
Intel(R) Dual Band Wireless-AC 7265 - 19.51.14.1,1631,0,0,2,1631,100.0%
Intel(R) Dual Band Wireless-AC 7265 - 19.10.0.9,570,0,0,1,570,100.0%
Intel(R) Dual Band Wireless-AC 7260 - 18.33.17.1,6856,0,0,9,6856,100.0%
Intel(R) Dual Band Wireless-AC 7260 - 18.33.16.2,3998,0,0,4,3998,100.0%
Intel(R) Dual Band Wireless-AC 7260 - 18.33.15.1,1504,0,0,2,1504,100.0%
Intel(R) Dual Band Wireless-AC 7260 - 18.33.14.3,1440,0,0,2,1440,100.0%
Intel(R) Dual Band Wireless-AC 3168 - 19.51.40.1,1513,0,0,2,1513,100.0%
Intel(R) Dual Band Wireless-AC 3165 - 22.130.0.5,512,0,0,1,512,100.0%
Intel(R) Dual Band Wireless-AC 3160 - 18.33.17.1,1432,0,1,2,1433,100.0%
Intel(R) Centrino(R) Ultimate-N 6300 AGN - 15.18.0.1,717,0,0,1,717,100.0%
Intel(R) Dual Band Wireless-AC 8260 - 20.70.27.1,716,0,0,1,716,100.0%
Intel(R) Dual Band Wireless-AC 8260 - 20.70.24.1,265,0,3,1,268,100.0%
Intel(R) Dual Band Wireless-AC 8260 - 20.70.21.2,1587,0,0,3,1587,100.0%
Intel(R) Dual Band Wireless-AC 8260 - 20.70.16.4,768,0,0,1,768,100.0%
Intel(R) Dual Band Wireless-AC 8260 - 20.70.12.5,1375,0,0,2,1375,100.0%
Intel(R) Dual Band Wireless-AC 7265 - 19.51.31.1,716,0,0,1,716,100.0%
Realtek RTL8188EU Wireless LAN 802.11n USB 2.0 Network Adapter - 1030.38.712.2019,557,0,0,1,557,100.0%
Realtek 8812BU Wireless LAN 802.11ac USB NIC - 1030.38.712.2019,438,0,0,1,438,100.0%
Qualcomm QCA9377 802.11ac Wireless Adapter - 12.0.0.697,716,0,0,1,716,100.0%
Qualcomm QCA61x4A 802.11ac Wireless Adapter - 12.0.0.722,2393,0,2,5,2395,100.0%
Qualcomm Atheros AR946x Wireless Network Adapter - 3.0.2.201,720,0,0,1,720,100.0%
Microsoft Wi-Fi Direct Virtual Adapter - 10.0.26100.2454,0,0,0,3,0,100.0%
Microsoft Wi-Fi Direct Virtual Adapter - 10.0.22621.1,0,0,0,1,0,100.0%
Intel(R) Wireless-AC 9560 160MHz - 21.10.2.2,413,0,0,2,413,100.0%
Intel(R) Dual Band Wireless-AC 8265 - 20.70.12.5,1711,0,0,3,1711,100.0%
Intel(R) Dual Band Wireless-AC 8265 - 20.70.11.3,716,0,0,1,716,100.0%
Intel(R) Dual Band Wireless-AC 8265 - 20.70.10.2,718,0,2,1,720,100.0%
Intel(R) Dual Band Wireless-AC 8265 - 20.50.0.4,117,0,0,1,117,100.0%
Intel(R) Dual Band Wireless-AC 8265 - 20.10.1.3,623,0,0,1,623,100.0%
Intel(R) Dual Band Wireless-AC 8260 - 22.80.1.1,1438,0,0,2,1438,100.0%
Intel(R) Dual Band Wireless-AC 8260 - 22.60.0.6,720,0,0,1,720,100.0%
Intel(R) Dual Band Wireless-AC 8260 - 20.70.5.2,1861,0,2,3,1863,100.0%
Intel(R) Dual Band Wireless-AC 8265 - 20.50.0.5,207,0,0,1,207,100.0%
Broadcom 802.11n Network Adapter - 6.30.223.256,1091,0,0,1,1091,100.0%
RZ616 Wi-Fi 6E 160MHz - 3.3.0.908,1688,0,0,1,1688,100.0%
MediaTek Wi-Fi 6E MT7922 (RZ616) 160MHz PCIe Adapter - 3.4.0.1088,353,0,0,1,353,100.0%
MediaTek Wi-Fi 6E MT7922 (RZ616) 160MHz PCIe Adapter - 3.3.0.908,791,0,0,3,791,100.0%
MediaTek Wi-Fi 6E MT7922 (RZ616) 160MHz PCIe Adapter - 3.3.0.824,957,0,0,1,957,100.0%
MediaTek Wi-Fi 6E MT7922 (RZ616) 160MHz PCIe Adapter - 3.3.0.800,271,0,0,1,271,100.0%
MediaTek Wi-Fi 6E MT7922 (RZ616) 160MHz PCIe Adapter - 3.3.0.1030,3,0,0,1,3,100.0%
MediaTek Wi-Fi 6 MT7921 Wireless LAN Card - 3.0.1.1314,1644,0,0,4,1644,100.0%
Intel(R) Wi-Fi 6 AX200 160MHz - 21.10.1.2,720,0,0,1,720,100.0%
Intel(R) Dual Band Wireless-AC 8265 - 22.30.0.11,2266,0,0,4,2266,100.0%
Intel(R) Dual Band Wireless-AC 8265 - 22.0.1.1,638,0,0,1,638,100.0%
Intel(R) Dual Band Wireless-AC 8265 - 20.90.0.100,767,0,0,1,767,100.0%
Intel(R) Dual Band Wireless-AC 8265 - 20.70.9.1,561,0,0,1,561,100.0%
Intel(R) Dual Band Wireless-AC 8265 - 20.70.5.2,2176,0,0,3,2176,100.0%
Intel(R) Dual Band Wireless-AC 8265 - 20.70.26.2,111,0,0,1,111,100.0%
MediaTek Wi-Fi 6 MT7921 Wireless LAN Card - 23.33.2.563,2046,0,0,8,2046,100.0%
MediaTek Wi-Fi 6 MT7921 Wireless LAN Card - 23.32.2.560,518,0,0,1,518,100.0%
MediaTek MT7921 Wi-Fi 6 802.11ax PCIe Adapter - 3.0.1.1327,707,0,0,2,707,100.0%
MediaTek MT7921 Wi-Fi 6 802.11ax PCIe Adapter - 3.0.1.1317,808,0,0,6,808,100.0%
MediaTek MT7921 Wi-Fi 6 802.11ax PCIe Adapter - 3.0.1.1297,25,0,0,2,25,100.0%
MediaTek MT7921 Wi-Fi 6 802.11ax PCIe Adapter - 3.0.1.1255,55,0,0,2,55,100.0%
Marvell AVASTAR Wireless-AC Network Controller - 15.68.17022.122,3775,0,0,10,3775,100.0%
Intel Corporation Wi-Fi 5(802.11ac) Wireless-AC 9x6x [Thunder Peak] [8086:2526] (rev 29) - iwlwifi,600,0,0,1,600,100.0%
N/A,1,0,0,1,1,100.0%
N/A,1053,0,0,2,1053,100.0%
Intel(R) Wi-Fi 6 AX200 160MHz - 22.200.0.6,2177,0,0,3,2177,100.0%
Intel(R) Wi-Fi 6 AX200 160MHz - 22.190.0.4,3591,0,0,5,3591,100.0%
Intel(R) Wi-Fi 6 AX200 160MHz - 22.170.0.3,2229,0,0,6,2229,100.0%
Intel(R) Wi-Fi 6 AX200 160MHz - 22.160.0.4,728,0,0,1,728,100.0%
Intel(R) Wi-Fi 6 AX200 160MHz - 22.130.0.5,2159,0,0,3,2159,100.0%
Intel(R) Wi-Fi 6 AX200 160MHz - 22.110.1.1,734,0,0,2,734,100.0%
Intel(R) Wi-Fi 6 AX200 160MHz - 22.10.0.7,549,0,0,1,549,100.0%
Intel(R) Wi-Fi 6 AX200 160MHz - 21.60.2.1,578,0,0,1,578,100.0%
