Adapter-Driver,Good Sum,Critical Sum,Warning Sum,Client Count,Total Sum,Good Roaming Calculation (%)
Intel(R) Wi-Fi 6 AX200 160MHz - 21.60.2.1,574,0,0,1,574,100.0%
Intel(R) Wi-Fi 6 AX200 160MHz - 21.60.0.5,2238,0,0,4,2238,100.0%
Intel(R) Wi-Fi 6 AX200 160MHz - 21.50.1.1,719,0,0,1,719,100.0%
Intel(R) Wi-Fi 6 AX200 160MHz - 21.40.2.2,204,0,0,1,204,100.0%
Intel(R) Wi-Fi 6 AX200 160MHz - 21.40.1.4,149,0,0,1,149,100.0%
Intel(R) Wi-Fi 6 AX200 160MHz - 21.30.4.1,717,0,0,1,717,100.0%
Intel(R) Wi-Fi 6 AX200 160MHz - 21.20.1.1,569,0,0,1,569,100.0%
Intel(R) Wi-Fi 6 AX200 160MHz - 21.120.0.9,1305,0,0,3,1305,100.0%
Intel(R) Dual Band Wireless-AC 8265 - 22.30.0.11,2265,0,0,4,2265,100.0%
Intel(R) Dual Band Wireless-AC 8265 - 22.0.1.1,636,0,0,1,636,100.0%
Intel(R) Dual Band Wireless-AC 8265 - 21.120.0.9,1484,0,0,2,1484,100.0%
Intel(R) Wi-Fi 6 AX200 160MHz - 22.250.10.1,2878,0,0,4,2878,100.0%
Intel(R) Wi-Fi 6 AX200 160MHz - 22.250.1.2,3923,0,4,10,3927,100.0%
Intel(R) Wi-Fi 6 AX200 160MHz - 22.250.0.4,5784,0,13,8,5797,100.0%
Intel(R) Wi-Fi 6 AX200 160MHz - 22.240.0.6,278,0,0,1,278,100.0%
Intel(R) Wi-Fi 6 AX200 160MHz - 22.220.0.4,2165,0,0,2,2165,100.0%
Intel(R) Wi-Fi 6 AX200 160MHz - 22.200.0.6,2123,0,0,3,2123,100.0%
Intel(R) Wi-Fi 6 AX200 160MHz - 22.160.0.4,1456,0,0,2,1456,100.0%
Intel(R) Wi-Fi 6 AX200 160MHz - 22.150.1.1,12344,0,0,19,12344,100.0%
Intel(R) Wi-Fi 6 AX200 160MHz - 22.130.0.5,714,0,0,1,714,100.0%
Intel(R) Wi-Fi 6 AX200 160MHz - 22.110.1.1,725,0,0,2,725,100.0%
Intel(R) Wi-Fi 6 AX200 160MHz - 22.100.0.3,3365,0,0,5,3365,100.0%
MediaTek MT7921 Wi-Fi 6 802.11ax PCIe Adapter - 3.0.1.1297,1119,0,6,4,1125,100.0%
MediaTek MT7921 Wi-Fi 6 802.11ax PCIe Adapter - 3.0.1.1255,675,0,0,1,675,100.0%
Marvell AVASTAR Wireless-AC Network Controller - 15.68.17022.122,5268,0,0,9,5268,100.0%
rtw89_8852be,4246,0,0,6,4246,100.0%
rtl8852be,45,0,0,1,45,100.0%
Intel Corporation Wi-Fi 5(802.11ac) Wireless-AC 9x6x [Thunder Peak] [8086:2526] (rev 29) - iwlwifi,596,0,0,1,596,100.0%
N/A,1092,0,0,2,1092,100.0%
N/A,1492,0,0,4,1492,100.0%
N/A,127,0,0,1,127,100.0%
Killer(R) Wi-Fi 6E AX1675x 160MHz Wireless Network Adapter (210NGW) - 22.70.0.6,1341,0,0,1,1341,100.0%
Killer(R) Wi-Fi 6 AX1650x 160MHz Wireless Network Adapter (200NGW) - 23.60.1.2,349,0,0,1,349,100.0%
Intel(R) Wi-Fi 6 AX201 160MHz - 21.70.0.6,237,0,0,1,237,100.0%
Intel(R) Wi-Fi 6 AX201 160MHz - 21.60.2.1,720,0,0,1,720,100.0%
Intel(R) Wi-Fi 6 AX201 160MHz #2 - 23.80.0.7,1062,0,0,2,1062,100.0%
Intel(R) Wi-Fi 6 AX200 160MHz - 23.80.1.3,248,0,3,1,251,100.0%
Intel(R) Wi-Fi 6 AX200 160MHz - 23.60.0.10,2642,0,0,9,2642,100.0%
Intel(R) Wi-Fi 6 AX200 160MHz - 23.40.0.4,7376,0,1,20,7377,100.0%
Intel(R) Wi-Fi 6 AX200 160MHz - 23.30.0.6,3509,0,0,7,3509,100.0%
Intel(R) Wi-Fi 6 AX200 160MHz - 23.20.1.1,1385,0,0,4,1385,100.0%
Intel(R) Wi-Fi 6 AX200 160MHz - 22.70.0.6,2236,0,0,3,2236,100.0%
Intel(R) Wi-Fi 6 AX200 160MHz - 22.60.0.6,720,0,0,1,720,100.0%
Intel(R) Wi-Fi 6 AX200 160MHz - 22.40.0.7,5222,0,0,11,5222,100.0%
Intel(R) Wi-Fi 6 AX200 160MHz - 22.30.0.11,1523,0,0,4,1523,100.0%
Intel(R) Wi-Fi 6 AX201 160MHz - 22.150.2.1,82,0,0,1,82,100.0%
Intel(R) Wi-Fi 6 AX201 160MHz - 21.90.2.1,2425,0,2,5,2427,100.0%
Intel(R) Wi-Fi 6 AX201 160MHz - 21.80.0.4,768,0,0,1,768,100.0%
Killer(R) Wi-Fi 6 AX1650s 160MHz Wireless Network Adapter (201D2W) - 22.250.0.4,726,0,0,1,726,100.0%
Intel(R) Wireless-AC 9560 160MHz - 23.70.4.1,1110,0,0,2,1110,100.0%
Intel(R) Wireless-AC 9560 160MHz - 23.40.1.1,7629,0,0,17,7629,100.0%
Intel(R) Wireless-AC 9560 160MHz - 23.20.1.1,1896,0,0,7,1896,100.0%
Intel(R) Wireless-AC 9560 160MHz - 23.20.0.4,733,0,0,2,733,100.0%
Intel(R) Wireless-AC 9560 160MHz - 22.70.0.6,2159,0,0,3,2159,100.0%
Intel(R) Wireless-AC 9560 160MHz - 22.50.0.7,18274,0,1,29,18275,100.0%
