Adapter-Driver,Good Sum,Critical Sum,Warning Sum,Client Count,Total Sum,Good Roaming Calculation (%)
N/A,1,0,0,1,1,100.0%
Realtek RTL8852BE WiFi 6 802.11ax PCIe Adapter - 6001.15.152.0,2375,0,0,3,2375,100.0%
"Wi-Fi  (0x14E4, 0x4378) - 16.0 (1657)",64,0,0,1,64,100.0%
"Wi-Fi  (0x14E4, 0x4387) - 16.0 (1657)",88,0,0,4,88,100.0%
"Wi-Fi  (0x14E4, 0x4388) - 16.0 (1657)",9,0,0,1,9,100.0%
Realtek RTL8852BE WiFi 6 802.11ax PCIe Adapter - 6001.15.149.0,2160,0,0,2,2160,100.0%
19.51.21.1,908,0,0,1,908,100.0%
19.51.24.3,907,0,0,1,907,100.0%
20.70.30.1,14,0,0,1,14,100.0%
Killer Wireless-n/a/ac 1535 Wireless Network Adapter - 12.0.0.1118,294,0,0,1,294,100.0%
Qualcomm Atheros AR9580 Wireless Network Adapter - 10.1.10.5,853,0,0,1,853,100.0%
TP-Link Wireless USB Adapter - 1030.38.712.2019,1152,0,0,2,1152,100.0%
Realtek 8812BU Wireless LAN 802.11ac USB NIC - 1030.38.712.2019,1152,0,0,1,1152,100.0%
Qualcomm QCA9377 802.11ac Wireless Adapter - 12.0.0.697,1077,0,0,1,1077,100.0%
Qualcomm QCA61x4A 802.11ac Wireless Adapter - 12.0.0.722,485,0,0,1,485,100.0%
Qualcomm Atheros AR946x Wireless Network Adapter - 3.0.2.201,1080,0,0,1,1080,100.0%
Microsoft Wi-Fi Direct Virtual Adapter - 10.0.26100.2454,0,0,0,1,0,100.0%
Intel(R) Wireless-AC 9560 160MHz - 21.10.2.2,765,0,0,1,765,100.0%
Intel(R) Wi-Fi 6 AX201 160MHz - 22.0.1.5,2160,0,0,2,2160,100.0%
Intel(R) Wi-Fi 6 AX200 160MHz - 22.0.1.5,1080,0,0,1,1080,100.0%
Intel(R) Wi-Fi 6 AX200 160MHz - 21.10.2.2,56708,0,0,53,56708,100.0%
Intel(R) Dual Band Wireless-AC 8260 - 20.70.16.4,1147,0,0,1,1147,100.0%
Intel(R) Dual Band Wireless-AC 8260 - 20.10.0.6,1080,0,0,1,1080,100.0%
Intel(R) Dual Band Wireless-AC 7265 - 19.51.37.2,3238,0,0,3,3238,100.0%
Intel(R) Dual Band Wireless-AC 7265 - 19.51.31.1,1078,0,0,1,1078,100.0%
Intel(R) Dual Band Wireless-AC 7265 - 19.10.0.9,789,0,0,1,789,100.0%
Intel(R) Dual Band Wireless-AC 8265 - 20.70.16.4,2865,0,0,3,2865,100.0%
Intel(R) Dual Band Wireless-AC 8265 - 20.70.11.3,1080,0,0,1,1080,100.0%
Intel(R) Dual Band Wireless-AC 8265 - 20.50.0.4,191,0,0,1,191,100.0%
Intel(R) Dual Band Wireless-AC 8260 - 22.80.1.1,2160,0,0,2,2160,100.0%
Intel(R) Dual Band Wireless-AC 8260 - 22.60.0.6,1080,0,0,1,1080,100.0%
Intel(R) Dual Band Wireless-AC 8260 - 20.70.5.2,1950,0,2,2,1952,100.0%
Intel(R) Dual Band Wireless-AC 8260 - 20.70.21.2,1090,0,0,2,1090,100.0%
Intel(R) Dual Band Wireless-AC 7265 - 19.50.1.6,310,0,0,1,310,100.0%
RZ616 Wi-Fi 6E 160MHz - 23.32.2.560,440,0,0,1,440,100.0%
MediaTek Wi-Fi 6E MT7922 (RZ616) 160MHz PCIe Adapter - 3.4.0.1088,163,0,0,2,163,100.0%
MediaTek Wi-Fi 6E MT7922 (RZ616) 160MHz PCIe Adapter - 3.3.0.897,3236,0,0,2,3236,100.0%
MediaTek Wi-Fi 6E MT7922 (RZ616) 160MHz PCIe Adapter - 3.3.0.800,1079,0,1,2,1080,100.0%
MediaTek Wi-Fi 6 MT7921 Wireless LAN Card - 3.3.0.540,1080,0,0,1,1080,100.0%
MediaTek Wi-Fi 6 MT7921 Wireless LAN Card - 3.0.1.1314,3540,0,0,5,3540,100.0%
MediaTek Wi-Fi 6 MT7921 Wireless LAN Card - 24.40.2.575,4597,0,0,5,4597,100.0%
MediaTek Wi-Fi 6 MT7921 Wireless LAN Card - 23.33.2.563,3305,0,0,6,3305,100.0%
MediaTek Wi-Fi 6 MT7921 Wireless LAN Card - 22.30.1.1339,123,0,0,1,123,100.0%
MediaTek MT7921 Wi-Fi 6 802.11ax PCIe Adapter - 3.0.1.1327,1205,0,1,5,1206,100.0%
Intel(R) Dual Band Wireless-AC 8265 - 22.0.1.1,945,0,0,1,945,100.0%
Intel(R) Dual Band Wireless-AC 8265 - 21.120.0.9,2231,0,0,2,2231,100.0%
Intel(R) Dual Band Wireless-AC 8265 - 20.90.0.100,1151,0,0,1,1151,100.0%
Intel(R) Dual Band Wireless-AC 8265 - 20.70.9.1,831,0,0,1,831,100.0%
Intel(R) Dual Band Wireless-AC 8265 - 20.70.5.2,2184,0,0,2,2184,100.0%
Intel(R) Dual Band Wireless-AC 8265 - 20.70.26.2,899,0,5,2,904,100.0%
MediaTek MT7921 Wi-Fi 6 802.11ax PCIe Adapter - 3.0.1.1317,2171,0,0,5,2171,100.0%
MediaTek MT7921 Wi-Fi 6 802.11ax PCIe Adapter - 3.0.1.1303,78,0,0,2,78,100.0%
MediaTek MT7921 Wi-Fi 6 802.11ax PCIe Adapter - 3.0.1.1297,443,0,0,3,443,100.0%
MediaTek MT7921 Wi-Fi 6 802.11ax PCIe Adapter - 3.0.1.1255,1087,0,0,2,1087,100.0%
rtw89_8852be,6533,0,0,6,6533,100.0%
Intel Corporation Wi-Fi 5(802.11ac) Wireless-AC 9x6x [Thunder Peak] [8086:2526] (rev 29) - iwlwifi,893,0,0,1,893,100.0%
N/A,1636,0,0,2,1636,100.0%
N/A,2604,0,0,5,2604,100.0%
N/A,6909,0,0,12,6909,100.0%
Killer(R) Wi-Fi 6E AX1675x 160MHz Wireless Network Adapter (210NGW) - 22.70.0.6,1157,0,0,1,1157,100.0%
Killer(R) Wi-Fi 6 AX1650s 160MHz Wireless Network Adapter (201D2W) - 23.20.1.1,0,0,0,1,0,100.0%
Intel(R) Wi-Fi 6 AX200 160MHz - 22.150.1.1,18352,0,0,17,18352,100.0%
Intel(R) Wi-Fi 6 AX200 160MHz - 22.130.0.5,2158,0,0,2,2158,100.0%
Intel(R) Wi-Fi 6 AX200 160MHz - 22.110.1.1,1925,0,0,2,1925,100.0%
Intel(R) Wi-Fi 6 AX200 160MHz - 22.100.0.3,4803,0,0,6,4803,100.0%
Intel(R) Wi-Fi 6 AX200 160MHz - 22.10.0.7,829,0,0,1,829,100.0%
Intel(R) Wi-Fi 6 AX200 160MHz - 21.60.2.1,866,0,0,1,866,100.0%
Intel(R) Wi-Fi 6 AX200 160MHz - 21.60.0.5,4317,0,0,4,4317,100.0%
Intel(R) Wi-Fi 6 AX200 160MHz - 21.50.1.1,59,0,0,1,59,100.0%
Intel(R) Wi-Fi 6 AX200 160MHz - 21.40.2.2,157,0,0,1,157,100.0%
Intel(R) Wi-Fi 6 AX200 160MHz - 21.30.4.1,1080,0,0,1,1080,100.0%
Intel(R) Wi-Fi 6 AX200 160MHz - 21.20.1.1,848,0,0,1,848,100.0%
Intel(R) Wi-Fi 6 AX200 160MHz - 21.120.0.9,54,0,0,1,54,100.0%
Intel(R) Dual Band Wireless-AC 8265 - 22.30.0.11,2550,0,0,3,2550,100.0%
Intel(R) Wi-Fi 6 AX200 160MHz - 23.20.1.1,1077,0,0,1,1077,100.0%
Intel(R) Wi-Fi 6 AX200 160MHz - 22.70.0.6,5175,0,0,5,5175,100.0%
Intel(R) Wi-Fi 6 AX200 160MHz - 22.40.0.7,7556,0,0,8,7556,100.0%
Intel(R) Wi-Fi 6 AX200 160MHz - 22.30.0.11,2160,0,0,2,2160,100.0%
Intel(R) Wi-Fi 6 AX200 160MHz - 22.250.10.1,4319,0,0,4,4319,100.0%
Intel(R) Wi-Fi 6 AX200 160MHz - 22.250.1.2,4320,0,5,5,4325,100.0%
Intel(R) Wi-Fi 6 AX200 160MHz - 22.250.0.4,8875,0,15,11,8890,100.0%
Intel(R) Wi-Fi 6 AX200 160MHz - 22.240.0.6,687,0,0,1,687,100.0%
Intel(R) Wi-Fi 6 AX200 160MHz - 22.230.0.8,6902,0,0,6,6902,100.0%
Intel(R) Wi-Fi 6 AX200 160MHz - 22.220.0.4,799,0,0,2,799,100.0%
Intel(R) Wi-Fi 6 AX200 160MHz - 22.200.0.6,2378,0,0,3,2378,100.0%
Intel(R) Wi-Fi 6 AX200 160MHz - 22.190.0.4,5439,0,0,5,5439,100.0%
Killer(R) Wi-Fi 6 AX1650s 160MHz Wireless Network Adapter (201D2W) - 22.250.0.4,1664,0,0,1,1664,100.0%
Intel(R) Wireless-AC 9560 160MHz - 23.80.0.7,17222,0,0,23,17222,100.0%
Intel(R) Wireless-AC 9560 160MHz - 23.70.4.1,1080,0,0,1,1080,100.0%
Intel(R) Wireless-AC 9560 160MHz - 23.40.1.1,10570,0,0,13,10570,100.0%
Intel(R) Wireless-AC 9560 160MHz - 23.20.1.1,3267,0,0,5,3267,100.0%
Intel(R) Wireless-AC 9560 160MHz - 23.10.0.8,3238,0,0,3,3238,100.0%
Intel(R) Wireless-AC 9560 160MHz - 22.70.0.6,3239,0,0,3,3239,100.0%
Intel(R) Wireless-AC 9560 160MHz - 22.40.0.7,2231,0,0,4,2231,100.0%
Intel(R) Wireless-AC 9560 160MHz - 22.250.10.1,1080,0,0,1,1080,100.0%
Intel(R) Wi-Fi 6 AX201 160MHz - 21.80.2.1,837,0,0,5,837,100.0%
Intel(R) Wi-Fi 6 AX201 160MHz - 21.80.0.4,1152,0,0,1,1152,100.0%
Intel(R) Wi-Fi 6 AX201 160MHz - 21.70.0.6,6,0,0,1,6,100.0%
Intel(R) Wi-Fi 6 AX201 160MHz - 21.60.2.1,894,0,1,1,895,100.0%
Intel(R) Wi-Fi 6 AX201 160MHz - 21.110.2.1,105,0,0,1,105,100.0%
Intel(R) Wi-Fi 6 AX201 160MHz #2 - 23.80.0.7,517,0,0,1,517,100.0%
Intel(R) Wi-Fi 6 AX200 160MHz - 23.80.0.7,2544,0,0,5,2544,100.0%
Intel(R) Wi-Fi 6 AX200 160MHz - 23.60.0.10,5495,0,0,10,5495,100.0%
Intel(R) Wi-Fi 6 AX200 160MHz - 23.40.1.1,63,0,0,1,63,100.0%
Intel(R) Wi-Fi 6 AX200 160MHz - 23.40.0.4,8961,0,0,15,8961,100.0%
Intel(R) Wi-Fi 6 AX200 160MHz - 23.30.0.6,4399,0,8,7,4407,100.0%
Intel(R) Wi-Fi 6 AX201 160MHz - 22.180.0.4,6091,0,0,6,6091,100.0%
Intel(R) Wi-Fi 6 AX201 160MHz - 22.160.0.4,11611,0,0,11,11611,100.0%
Intel(R) Wi-Fi 6 AX201 160MHz - 22.150.2.1,32,0,0,1,32,100.0%
Intel(R) Wi-Fi 6 AX201 160MHz - 22.150.1.1,7095,0,1,8,7096,100.0%
Intel(R) Wi-Fi 6 AX201 160MHz - 22.140.0.3,2,0,0,1,2,100.0%
Intel(R) Wi-Fi 6 AX201 160MHz - 22.100.0.3,8907,0,10,13,8917,100.0%
Intel(R) Wireless-AC 9560 160MHz - 22.240.0.6,6555,0,0,6,6555,100.0%
Intel(R) Wireless-AC 9560 160MHz - 22.230.0.8,1080,0,0,1,1080,100.0%
Intel(R) Wireless-AC 9560 160MHz - 22.220.0.4,2959,0,0,3,2959,100.0%
Intel(R) Wireless-AC 9560 160MHz - 22.170.0.3,2070,0,0,2,2070,100.0%
Intel(R) Wireless-AC 9560 160MHz - 22.150.1.1,5472,0,0,6,5472,100.0%
Intel(R) Wireless-AC 9560 160MHz - 22.140.0.3,3587,0,0,3,3587,100.0%
Intel(R) Wireless-AC 9560 160MHz - 22.130.0.5,2529,0,0,3,2529,100.0%
Intel(R) Wireless-AC 9560 160MHz - 22.10.0.7,4312,0,1,4,4313,100.0%
Intel(R) Wireless-AC 9560 160MHz - 21.90.3.2,2908,0,0,3,2908,100.0%
Intel(R) Wireless-AC 9560 160MHz - 21.80.2.1,1375,0,0,2,1375,100.0%
Intel(R) Wireless-AC 9560 160MHz - 21.50.1.1,6951,0,0,7,6951,100.0%
Intel(R) Wireless-AC 9560 160MHz - 21.40.1.4,1080,0,0,1,1080,100.0%
Intel(R) Wi-Fi 6 AX201 160MHz - 22.60.1.2,6407,0,0,11,6407,100.0%
Intel(R) Wi-Fi 6 AX201 160MHz - 22.50.1.1,1108,0,0,2,1108,100.0%
Intel(R) Wi-Fi 6 AX201 160MHz - 22.30.0.11,8194,0,0,20,8194,100.0%
Intel(R) Wi-Fi 6 AX201 160MHz - 22.220.0.4,10288,0,0,13,10288,100.0%
Intel(R) Wireless-AC 9560 160MHz - 21.120.0.9,1676,0,0,2,1676,100.0%
Intel(R) Wireless-AC 9560 160MHz - 21.110.3.2,1076,0,0,1,1076,100.0%
Intel(R) Wireless-AC 9560 160MHz - 21.110.2.1,247,0,0,1,247,100.0%
Intel(R) Wireless-AC 9560 160MHz - 21.110.1.1,7761,0,21,9,7782,100.0%
Intel(R) Wireless-AC 9560 160MHz - 21.10.0.5,1410,0,0,4,1410,100.0%
Intel(R) Wireless-AC 9560 160MHz - 20.110.0.3,1075,0,0,1,1075,100.0%
Intel(R) Wireless-AC 9560 160MHz - 20.100.0.4,1079,0,0,1,1079,100.0%
Intel(R) Wireless-AC 9462 - 22.250.1.2,976,0,0,1,976,100.0%
Intel(R) Wireless-AC 9260 160MHz - 23.80.0.7,2799,0,0,3,2799,100.0%
Intel(R) Wireless-AC 9260 160MHz - 23.60.1.2,302,0,0,1,302,100.0%
Intel(R) Wireless-AC 9260 160MHz - 23.20.1.1,1080,0,0,1,1080,100.0%
Intel(R) Wi-Fi 6 AX201 160MHz - 23.70.4.1,420,0,0,1,420,100.0%
Intel(R) Wi-Fi 6 AX201 160MHz - 23.70.0.6,1080,0,0,1,1080,100.0%
Intel(R) Wi-Fi 6 AX201 160MHz - 23.20.0.4,4316,0,0,4,4316,100.0%
Intel(R) Wi-Fi 6 AX201 160MHz - 23.100.0.4,2160,0,0,2,2160,100.0%
Intel(R) Wi-Fi 6 AX201 160MHz - 22.80.0.9,1801,0,0,2,1801,100.0%
Intel(R) Wireless-AC 9260 160MHz - 22.40.0.7,2002,0,0,3,2002,100.0%
Intel(R) Wireless-AC 9260 160MHz - 22.250.10.1,1,0,0,1,1,100.0%
Intel(R) Wireless-AC 9260 160MHz - 22.240.0.6,2159,0,0,2,2159,100.0%
Intel(R) Wireless-AC 9260 160MHz - 22.180.0.4,1152,0,0,1,1152,100.0%
Intel(R) Wireless-AC 9260 160MHz - 22.120.0.3,2159,0,0,2,2159,100.0%
Intel(R) Wireless-AC 9260 160MHz - 21.60.0.5,1080,0,0,1,1080,100.0%
