Adapter-Driver,Good Sum,Critical Sum,Warning Sum,Client Count,Total Sum,Good Roaming Calculation (%)
Realtek RTL8852BE WiFi 6 802.11ax PCIe Adapter - 6001.15.152.0,2713,0,0,4,2713,100.0%
Realtek RTL8852BE WiFi 6 802.11ax PCIe Adapter - 6001.15.149.0,1952,0,0,3,1952,100.0%
"Wi-Fi  (0x14E4, 0x170) - 16.0 (1657)",0,0,0,1,0,100.0%
"Wi-Fi  (0x14E4, 0x4378) - 16.0 (1657)",3,0,0,1,3,100.0%
"Wi-Fi  (0x14E4, 0x4387) - 16.0 (1657)",35,0,0,1,35,100.0%
"Wi-Fi  (0x14E4, 0x4388) - 16.0 (1657)",63,0,0,2,63,100.0%
Wi-Fi - 16.0 (1657),180,0,0,5,180,100.0%
Realtek 8821CE Wireless LAN 802.11ac PCI-E NIC - 2024.10.139.3,196,0,0,1,196,100.0%
Realtek 8821CE Wireless LAN 802.11ac PCI-E NIC - 2024.10.139.2,1321,0,0,1,1321,100.0%
Realtek 8811CU Wireless LAN 802.11ac USB NIC - 1030.44.1014.2024,218,0,0,1,218,100.0%
Edimax AC1750 Wi-Fi USB Adapter - 1030.44.1014.2024,1313,0,0,1,1313,100.0%
N/A,28,0,0,1,28,100.0%
N/A,8,0,0,1,8,100.0%
Qualcomm QCA9377 802.11ac Wireless Adapter - 12.0.0.953,1287,0,0,1,1287,100.0%
Qualcomm QCA61x4A 802.11ac Wireless Adapter - 12.0.0.926,5803,0,0,4,5803,100.0%
Qualcomm QCA61x4A 802.11ac Wireless Adapter - 12.0.0.1272,8206,0,0,8,8206,100.0%
Qualcomm QCA61x4A 802.11ac Wireless Adapter - 12.0.0.1016,2370,0,0,2,2370,100.0%
Qualcomm FastConnect 6900 Wi-Fi 6E Dual Band Simultaneous (DBS) WDI Network Adapter - 1.0.0.1694,1429,0,0,3,1429,100.0%
Killer Wireless-n/a/ac 1535 Wireless Network Adapter - 12.0.0.1118,65,0,0,1,65,100.0%
TP-Link Wireless USB Adapter - 1030.38.712.2019,1317,0,1,1,1318,100.0%
Intel(R) Dual Band Wireless-AC 8260 - 20.70.16.4,1408,0,0,1,1408,100.0%
Intel(R) Dual Band Wireless-AC 8260 - 20.10.0.6,1317,0,0,1,1317,100.0%
Intel(R) Dual Band Wireless-AC 7265 - 19.51.31.1,2553,0,0,2,2553,100.0%
Intel(R) Dual Band Wireless-AC 7265 - 19.51.14.1,2422,0,0,2,2422,100.0%
Intel(R) Dual Band Wireless-AC 7260 - 18.33.16.2,5096,0,0,4,5096,100.0%
Intel(R) Dual Band Wireless-AC 7260 - 18.33.15.1,2766,0,0,2,2766,100.0%
Intel(R) Dual Band Wireless-AC 8265 - 20.70.11.3,1320,0,0,1,1320,100.0%
Intel(R) Dual Band Wireless-AC 8265 - 20.50.0.4,909,0,0,1,909,100.0%
Intel(R) Dual Band Wireless-AC 8260 - 22.80.1.1,2640,0,0,2,2640,100.0%
Intel(R) Dual Band Wireless-AC 8260 - 22.60.0.6,1320,0,0,1,1320,100.0%
Intel(R) Dual Band Wireless-AC 8260 - 20.70.5.2,2454,0,0,3,2454,100.0%
Intel(R) Dual Band Wireless-AC 8260 - 20.70.21.2,1317,0,0,1,1317,100.0%
Realtek 8812BU Wireless LAN 802.11ac USB NIC - 1030.38.712.2019,1402,0,0,1,1402,100.0%
Qualcomm QCA9377 802.11ac Wireless Adapter - 12.0.0.697,1319,0,0,1,1319,100.0%
Qualcomm QCA61x4A 802.11ac Wireless Adapter - 12.0.0.722,4056,0,0,4,4056,100.0%
Qualcomm Atheros AR946x Wireless Network Adapter - 3.0.2.201,1320,0,0,1,1320,100.0%
Microsoft Wi-Fi Direct Virtual Adapter - 10.0.26100.2454,0,0,0,1,0,100.0%
Microsoft Wi-Fi Direct Virtual Adapter - 10.0.22621.1,0,0,0,2,0,100.0%
Intel(R) Wireless-AC 9560 160MHz - 21.80.2.3,1320,0,0,1,1320,100.0%
Intel(R) Wireless-AC 9560 160MHz - 21.10.2.2,1197,0,0,1,1197,100.0%
Intel(R) Wi-Fi 6 AX200 160MHz - 22.0.1.5,1,0,0,1,1,100.0%
Intel(R) Dual Band Wireless-AC 8265 - 20.90.0.100,1278,0,0,1,1278,100.0%
Intel(R) Dual Band Wireless-AC 8265 - 20.70.9.1,1023,0,0,1,1023,100.0%
Intel(R) Dual Band Wireless-AC 8265 - 20.70.5.2,4003,0,0,3,4003,100.0%
Intel(R) Dual Band Wireless-AC 8265 - 20.70.26.2,163,0,0,4,163,100.0%
Intel(R) Dual Band Wireless-AC 8265 - 20.70.19.1,947,0,0,1,947,100.0%
Intel(R) Dual Band Wireless-AC 8265 - 20.70.16.4,3498,0,0,3,3498,100.0%
Intel(R) Dual Band Wireless-AC 7260 - 17.15.0.5,11706,0,0,10,11706,100.0%
RZ616 Wi-Fi 6E 160MHz - 23.32.2.560,717,0,0,2,717,100.0%
NETGEAR A8000 WiFi 6 & 6E Adapter - 1.0.0.108,53,0,0,1,53,100.0%
MediaTek Wi-Fi 6E MT7922 (RZ616) 160MHz PCIe Adapter - 3.4.0.1088,1689,0,0,3,1689,100.0%
MediaTek Wi-Fi 6E MT7922 (RZ616) 160MHz PCIe Adapter - 3.3.0.908,1010,0,0,1,1010,100.0%
MediaTek Wi-Fi 6E MT7922 (RZ616) 160MHz PCIe Adapter - 3.3.0.824,695,0,0,2,695,100.0%
MediaTek Wi-Fi 6E MT7922 (RZ616) 160MHz PCIe Adapter - 3.3.0.1030,2195,0,0,1,2195,100.0%
MediaTek Wi-Fi 6 MT7921 Wireless LAN Card - 3.3.3.854,1315,0,0,1,1315,100.0%
MediaTek Wi-Fi 6 MT7921 Wireless LAN Card - 24.40.2.575,2996,0,1,5,2997,100.0%
MediaTek Wi-Fi 6 MT7921 Wireless LAN Card - 22.30.1.1339,117,0,0,1,117,100.0%
Intel(R) Wi-Fi 6 AX200 160MHz - 22.110.1.1,2352,0,0,2,2352,100.0%
Intel(R) Wi-Fi 6 AX200 160MHz - 22.10.0.7,1006,0,0,1,1006,100.0%
Intel(R) Wi-Fi 6 AX200 160MHz - 22.0.1.1,2,0,0,1,2,100.0%
