Adapter-Driver,Good Sum,Critical Sum,Warning Sum,Client Count,Total Sum,Good Roaming Calculation (%)
Realtek RTL8852BE WiFi 6 802.11ax PCIe Adapter - 6001.15.152.0,1070,0,0,3,1070,100.0%
Realtek RTL8852BE WiFi 6 802.11ax PCIe Adapter - 6001.15.149.0,3105,0,0,2,3105,100.0%
"Wi-Fi  (0x14E4, 0x4387) - 16.0 (1657)",22,0,0,2,22,100.0%
"Wi-Fi  (0x14E4, 0x4388) - 16.0 (1657)",23,0,0,1,23,100.0%
Realtek RTL8852BE WiFi 6 802.11ax PCIe Adapter - 6001.15.143.0,4340,0,0,5,4340,100.0%
19.51.21.1,788,0,0,1,788,100.0%
Qualcomm FastConnect 6900 Wi-Fi 6E Dual Band Simultaneous (DBS) WDI Network Adapter - 1.0.0.1694,536,0,0,2,536,100.0%
Qualcomm FastConnect 6900 Wi-Fi 6E Dual Band Simultaneous (DBS) WDI Network Adapter - 1.0.0.1633,988,0,0,1,988,100.0%
Killer Wireless-n/a/ac 1535 Wireless Network Adapter - 12.0.0.1118,143,0,0,2,143,100.0%
Killer Wireless-n/a/ac 1435 Wireless Network Adapter - 12.0.0.1118,125,0,0,1,125,100.0%
TP-Link Wireless USB Adapter - 1030.38.712.2019,960,0,0,1,960,100.0%
Realtek 8812BU Wireless LAN 802.11ac USB NIC - 1030.38.712.2019,1024,0,0,1,1024,100.0%
Qualcomm QCA9377 802.11ac Wireless Adapter - 12.0.0.697,957,0,0,1,957,100.0%
Qualcomm QCA61x4A 802.11ac Wireless Adapter - 12.0.0.722,1281,0,0,3,1281,100.0%
Qualcomm Atheros AR946x Wireless Network Adapter - 3.0.2.201,960,0,0,1,960,100.0%
Intel(R) Wireless-AC 9560 160MHz - 21.80.2.3,956,0,0,1,956,100.0%
Intel(R) Wireless-AC 9560 160MHz - 21.10.2.2,923,0,0,1,923,100.0%
Intel(R) Wi-Fi 6 AX200 160MHz - 22.0.1.5,955,0,0,1,955,100.0%
Intel(R) Dual Band Wireless-AC 8260 - 20.70.16.4,1024,0,0,1,1024,100.0%
Intel(R) Dual Band Wireless-AC 7265 - 19.51.31.1,1810,0,0,2,1810,100.0%
Intel(R) Dual Band Wireless-AC 7265 - 19.51.27.1,959,0,0,1,959,100.0%
Intel(R) Dual Band Wireless-AC 7265 - 19.51.14.1,1738,0,0,2,1738,100.0%
Intel(R) Dual Band Wireless-AC 7265 - 19.10.0.9,281,0,0,1,281,100.0%
Intel(R) Dual Band Wireless-AC 8265 - 20.70.16.4,2739,0,0,3,2739,100.0%
Intel(R) Dual Band Wireless-AC 8265 - 20.70.11.3,960,0,0,1,960,100.0%
Intel(R) Dual Band Wireless-AC 8265 - 20.50.3.3,1415,0,0,2,1415,100.0%
Intel(R) Dual Band Wireless-AC 8265 - 20.50.0.4,539,0,0,1,539,100.0%
Intel(R) Dual Band Wireless-AC 8260 - 22.80.1.1,1905,0,0,2,1905,100.0%
Intel(R) Dual Band Wireless-AC 8260 - 22.60.0.6,960,0,0,1,960,100.0%
Intel(R) Dual Band Wireless-AC 8260 - 20.70.5.2,1727,0,1,2,1728,100.0%
Intel(R) Dual Band Wireless-AC 8260 - 20.70.30.1,19148,0,0,24,19148,100.0%
Intel(R) Dual Band Wireless-AC 8260 - 20.70.24.1,266,0,0,1,266,100.0%
Intel(R) Dual Band Wireless-AC 8260 - 20.70.21.2,960,0,0,1,960,100.0%
Intel(R) Dual Band Wireless-AC 8260 - 20.50.0.5,5389,0,0,7,5389,100.0%
Intel(R) Dual Band Wireless-AC 7265 - 19.51.15.3,9432,0,0,10,9432,100.0%
RZ616 Wi-Fi 6E 160MHz - 23.32.2.560,406,0,0,1,406,100.0%
MediaTek Wi-Fi 6E MT7922 (RZ616) 160MHz PCIe Adapter - 3.4.0.1088,203,0,0,2,203,100.0%
MediaTek Wi-Fi 6E MT7922 (RZ616) 160MHz PCIe Adapter - 3.3.0.897,960,0,0,1,960,100.0%
MediaTek Wi-Fi 6E MT7922 (RZ616) 160MHz PCIe Adapter - 3.3.0.800,133,0,0,2,133,100.0%
MediaTek Wi-Fi 6 MT7921 Wireless LAN Card - 3.3.3.854,1563,0,0,2,1563,100.0%
MediaTek Wi-Fi 6 MT7921 Wireless LAN Card - 3.3.0.540,1239,0,0,2,1239,100.0%
MediaTek Wi-Fi 6 MT7921 Wireless LAN Card - 3.0.1.1314,3825,0,3,5,3828,100.0%
MediaTek Wi-Fi 6 MT7921 Wireless LAN Card - 3.0.1.1294,641,0,0,1,641,100.0%
Intel(R) Dual Band Wireless-AC 8265 - 22.0.1.1,834,0,0,1,834,100.0%
Intel(R) Dual Band Wireless-AC 8265 - 21.120.0.9,1983,0,0,2,1983,100.0%
Intel(R) Dual Band Wireless-AC 8265 - 20.90.0.100,1024,0,0,1,1024,100.0%
Intel(R) Dual Band Wireless-AC 8265 - 20.70.9.1,744,0,0,1,744,100.0%
Intel(R) Dual Band Wireless-AC 8265 - 20.70.26.2,2653,0,0,4,2653,100.0%
Intel(R) Dual Band Wireless-AC 8265 - 20.70.21.2,7260,0,0,11,7260,100.0%
Intel(R) Dual Band Wireless-AC 8265 - 20.70.19.1,665,0,0,1,665,100.0%
MediaTek Wi-Fi 6 MT7921 Wireless LAN Card - 23.32.2.560,534,0,0,1,534,100.0%
MediaTek Wi-Fi 6 MT7921 Wireless LAN Card - 22.30.1.1339,599,0,0,1,599,100.0%
MediaTek MT7921 Wi-Fi 6 802.11ax PCIe Adapter - 3.0.1.1327,888,0,0,1,888,100.0%
MediaTek MT7921 Wi-Fi 6 802.11ax PCIe Adapter - 3.0.1.1317,424,0,0,6,424,100.0%
MediaTek MT7921 Wi-Fi 6 802.11ax PCIe Adapter - 3.0.1.1303,7,0,0,2,7,100.0%
MediaTek MT7921 Wi-Fi 6 802.11ax PCIe Adapter - 3.0.1.1297,965,0,0,3,965,100.0%
MediaTek MT7921 Wi-Fi 6 802.11ax PCIe Adapter - 3.0.1.1255,285,0,0,2,285,100.0%
